,mandante,visitante,odds_mandante_percent,odds_empate_percent,odds_visitante_percent,odds_mandante,odds_empate,odds_visitante
0,Santos,Bahia,38.02281368821293,38.02281368821293,27.027027027027025,2.63,2.63,3.7
1,Internacional,Athletico-PR,42.91845493562232,37.03703703703704,22.98850574712644,2.33,2.7,4.35
2,Cuiabá,Atlético-MG,25.97402597402597,38.02281368821293,39.0625,3.85,2.63,2.56
3,Flamengo,Goiás,59.171597633136095,34.01360544217687,10.0,1.69,2.94,10.0
4,Bragantino,América-MG,40.0,39.0625,23.980815347721823,2.5,2.56,4.17
5,Coritiba,Vasco,30.959752321981426,38.02281368821293,34.01360544217687,3.23,2.63,2.94
6,Botafogo,Corinthians,39.0625,39.0625,25.0,2.56,2.56,4.0
7,Cruzeiro,Fluminense,30.03003003003003,39.0625,34.01360544217687,3.33,2.56,2.94
8,Palmeiras,Grêmio,52.083333333333336,35.97122302158274,14.992503748125937,1.92,2.78,6.67
9,Fortaleza,São Paulo,39.0625,39.0625,25.0,2.56,2.56,4.0
