,clube,P,GP,GC,SG,Fase,ranking
0,Botafogo,43,32,10,22,13,1
1,Palmeiras,31,32,15,17,9,2
2,Flamengo,31,30,20,10,9,3
3,Grêmio,31,26,21,5,8,4
4,Bragantino,28,25,16,9,8,5
5,Fluminense,28,22,16,6,7,6
6,Athletico-PR,27,25,21,4,8,7
7,São Paulo,26,23,16,7,8,8
8,Cuiabá,25,18,19,-1,13,9
9,Cruzeiro,23,19,15,4,6,10
10,Fortaleza,23,17,18,-1,3,11
11,Internacional,23,14,18,-4,3,12
12,Atlético-MG,21,19,17,2,2,13
13,Corinthians,20,15,18,-3,8,14
14,Santos,17,18,26,-8,4,15
15,Goiás,16,16,27,-11,5,16
16,Bahia,15,15,23,-8,3,17
17,Coritiba,14,17,32,-15,10,18
18,América-MG,11,18,37,-19,3,19
19,Vasco,10,12,28,-16,1,20
