,clube,xG_mean,xG_total
0,Fortaleza,2.28643987839621,6.859319635188633
1,Flamengo,1.9033906244296703,5.710171873289013
2,América-MG,1.6374626727107213,4.912388018132165
3,Internacional,1.5723206037764663,4.7169618113294
4,Atlético-MG,1.5405204978891247,4.6215614936673735
5,Palmeiras,1.5375990300955256,4.612797090286577
6,Fluminense,1.5295208588946085,4.588562576683824
7,São Paulo,1.4557363514867585,4.367209054460276
8,Coritiba,1.405288612471107,4.215865837413322
9,Cruzeiro,1.3902506733208826,4.170752019962647
10,Santos,1.3791875087020369,4.137562526106111
11,Grêmio,1.3669810798347648,4.1009432395042955
12,Bahia,1.3493350774899155,4.048005232469746
13,Goiás,1.3003419759302814,3.901025927790843
14,Cuiabá,1.0973971210152549,3.2921913630457653
15,Bragantino,1.078493695477098,3.2354810864312937
16,Vasco,1.0282053042770647,3.084615912831194
17,Athletico-PR,0.9579983132166993,2.873994939650097
18,Botafogo,0.9474375823362934,2.8423127470088807
19,Corinthians,0.6834616150724636,2.0503848452173905
