,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Corinthians,Grêmio,35.76715813863984,27.255658693478317,36.97716716615081,28.85479400325361,29.59157064093361
1,América-MG,Vasco,55.86102189924323,21.3991978475713,22.738848619300907,29.397373540349207,13.221887988865225
2,Botafogo,Bragantino,63.91724477469142,24.787762883679935,11.294913200442808,61.50662843691591,21.069403378699914
3,Cruzeiro,Coritiba,71.53394882930242,19.540443522586674,8.924969605836385,59.54544090410931,14.31971007898689
4,Fluminense,Flamengo,52.24001012535622,21.856535319666516,25.902711464349593,26.295748044274823,13.936192018803562
5,São Paulo,Santos,65.58623331167351,22.894435814611057,11.519143939159946,57.64212184510957,18.187341495100213
6,Fortaleza,Cuiabá,56.298191556027724,30.753736003480043,12.94806531536603,65.35009281014247,29.626398516411196
7,Internacional,Palmeiras,21.111986944977843,29.3522274947489,49.53577472818284,28.11602678933898,48.70521159152793
8,Athletico-PR,Bahia,62.51884979165947,22.17769170732188,15.303084476510437,46.001281847025886,15.962372484207727
9,Goiás,Atlético-MG,26.97311496646919,25.949898048256365,47.076933379398994,22.533888181021776,34.60275803808984
