,mandante,visitante,prob_vitoria_mandante,prob_empate,prob_vitoria_visitante,prob_sg_mandante,prob_sg_visitante
0,Bahia,Flamengo,24.211022379952453,22.86163329472293,52.926965935547464,15.965742897031063,31.034897944980568
1,Fluminense,Cuiabá,0.0,0.0,0.0,0.0,0.0
2,Palmeiras,Bragantino,87.49055538238667,7.785097082695971,4.515243842542701,40.346367170520345,2.148220909551594
3,Atlético-MG,Internacional,64.52134180780735,24.307137050127462,11.171424611342816,61.08596624844475,20.39262098034544
4,Vasco,Santos,56.259100242187984,29.393944344742394,14.346943039070718,60.80622308733821,27.623032090588772
5,Corinthians,São Paulo,7.8638696000334605,27.672272603875708,64.46383720653425,25.79122732183058,74.61845284876385
6,Grêmio,Fortaleza,13.885189210375174,18.426398779928764,67.68580769493057,10.349532521345441,39.71649802934725
7,Goiás,Botafogo,3.463296853325308,10.642833099022678,85.88082093731595,6.5453640990463535,67.04805310291385
8,Athletico-PR,Coritiba,85.77162707493368,12.183286137627181,2.0420484310251967,83.18360750812289,9.948681624199317
9,América-MG,Cruzeiro,14.581829097328244,19.903973780507044,65.51298839272457,12.448804859229853,42.06927154413756
