,clube,xG_total,xGA_total,xG_saldo
0,Palmeiras,12.592544299699073,5.929771687962155,6.6627726117369175
1,Flamengo,10.959772668159445,7.529251648862333,3.430521019297112
2,Fortaleza,12.009656781192415,8.87413820254477,3.1355185786476447
3,Cruzeiro,9.885157105368995,6.869517291260152,3.0156398141088427
4,Atlético-MG,8.275003119440319,5.455146822417198,2.8198562970231205
5,Bahia,8.11295143618314,6.971729499599337,1.1412219365838032
6,Botafogo,8.676101233842713,7.740331786654375,0.9357694471883384
7,Athletico-PR,7.074179479074885,6.651175737022783,0.423003742052102
8,América-MG,9.454630842908411,9.39016109349766,0.06446974941075112
9,Bragantino,8.588559973415903,8.765890030482796,-0.17733005706689298
10,Fluminense,8.400108092948258,9.301711140639597,-0.9016030476913386
11,São Paulo,7.02264024155744,8.237134265262247,-1.2144940237048072
12,Cuiabá,6.893624809266338,8.275153892662825,-1.3815290833964866
13,Corinthians,5.957070763095653,7.41100923005031,-1.4539384669546571
14,Santos,6.462795449514367,7.934088200122518,-1.4712927506081508
15,Internacional,7.081747077138722,9.067631562373876,-1.9858844852351538
16,Vasco,5.807401045016253,8.493417325664595,-2.6860162806483414
17,Goiás,6.70729518437345,9.41536815894357,-2.70807297457012
18,Coritiba,5.976171007141639,8.716433523947103,-2.7402625168054637
19,Grêmio,7.115116847727252,12.023466357094467,-4.9083495093672145
