atleta_id,apelido,clube,posicao,status_pre,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,ippc_gm_mean,iro_gm,irp_gm,adversário,ranking,fase,media_movel_mandante,media_movel_visitante,prob_vitoria_mandante,prob_vitoria_visitante,mando,XP_mandante,XP_visitante
97653,Murilo,Palmeiras,ZAG,Provável,10.81,21.7,1.65,10.389642857142857,1.9047619047619047,39.74622443952588,14.260384475870435,0.5416124558154481,5.572962962962962,6.709649555774925,Botafogo,1,11,6.066666666666666,10.966666666666667,,51.09358374687032,visitante,0.0,5.872857142857143
83257,Gabriel,Flamengo,ATA,Provável,10.84,17.6,1.78,31.164285714285715,11.896258503401361,25.42122056402809,12.787310136016886,0.3437610709834048,11.316538461538462,12.67162034064153,Bragantino,11,3,3.8333333333333335,5.666666666666667,62.47960920798705,,mandante,4.769615384615385,0.0
90302,Pedro Rocha,Fortaleza,ATA,Provável,2.36,15.5,2.56,6.325714285714286,1.1904761904761902,26.173015469954034,12.787310136016886,0.3937091338242588,6.1375,4.599446606265469,Goiás,18,5,8.1,0.9,,27.269393229625187,visitante,5.1589285714285715,0.0
73384,Samuel Xavier,Fluminense,LAT,Provável,8.05,15.3,2.43,9.316785714285714,2.976190476190476,33.88461182415933,13.61836935377561,0.5549959716850006,6.3378571428571435,7.422656684546679,Atlético-MG,3,10,4.775,-0.06666666666666667,,35.30384251736966,visitante,0.0,3.226923076923077
99815,Arias,Fluminense,MEI,Provável,6.99,13.7,2.08,29.168928571428573,6.666666666666665,27.195450661332647,12.787310136016886,0.5758758579921828,6.769285714285715,6.700210340572713,Atlético-MG,3,10,6.625,0.43333333333333335,,35.30384251736966,visitante,0.0,2.970673076923077
100652,Yuri Alberto,Corinthians,ATA,Provável,8.889999999999997,13.5,2.22,16.88642857142857,13.333333333333332,25.40498154554857,13.19276100013386,0.3509362654062427,11.346428571428573,5.854557727756575,Cuiabá,2,6,6.55,4.733333333333333,51.80831903885923,,mandante,4.291666666666666,0.0
89898,Róger Guedes,Corinthians,ATA,Provável,13.37,13.3,1.63,18.3325,9.540816326530612,23.832075360749286,12.787310136016886,0.2628353156148972,20.447407407407407,6.581509463353843,Cuiabá,2,6,3.725,2.0,51.80831903885923,,mandante,4.308333333333334,0.0
93882,Cleiton,Bragantino,GOL,Provável,8.760000000000002,12.0,1.79,0.0,0.0,26.03888674921765,41.061208382429655,0.32451343784212716,0.0,5.960896518836434,Flamengo,8,5,-0.6666666666666666,4.0,,15.649683823824937,visitante,0.0,3.3125
69010,João Carlos,Cuiabá,GOL,Provável,2.72,12.0,1.96,0.0,0.0,25.75773878235591,18.08338488775666,0.18840718105423987,0.0,1.3341990802921007,Corinthians,17,6,6.0,0.5,,15.3601156801295,visitante,0.0,1.6428571428571428
82766,Wellington Rato,Atlético-GO,MEI,Provável,10.33,11.8,1.78,20.543928571428573,11.011904761904763,28.734139675221048,12.787310136016886,0.47745616913968636,17.70111111111111,12.068774354831806,Avaí,20,1,0.4666666666666666,6.666666666666667,,21.955552569573598,visitante,0.0,3.294642857142857
107110,Natan,Bragantino,ZAG,Provável,8.11,11.8,1.74,10.714285714285714,1.2244897959183674,34.381575419045966,13.521029652744602,0.42511265662226777,3.538846153846154,6.314937645409749,Flamengo,8,5,0.9666666666666668,6.800000000000001,,15.649683823824937,visitante,0.0,2.939166666666667
89668,Cristiano,Fluminense,LAT,Provável,8.32,11.1,1.67,2.880357142857143,0.0,30.795218834460346,13.320699667378019,0.19632999075920715,6.665,9.935235562261447,Atlético-MG,3,10,11.1,-0.2,,35.30384251736966,visitante,0.0,2.726923076923077
86764,Sidcley,Cuiabá,LAT,Provável,4.17,10.5,2.04,12.5,2.083333333333333,33.83336505778961,12.10299990102946,0.5447210550791174,2.0462499999999997,5.665898760973788,Corinthians,17,6,6.1000000000000005,-0.050000000000000044,,15.3601156801295,visitante,0.0,1.1178571428571429
93834,Keiller,Internacional,GOL,Provável,1.5599999999999998,10.0,1.51,0.0,0.0,25.58159913253205,18.995864073283,0.5237550444721283,0.0,1.2279287675373414,Santos,4,9,10.0,4.5,49.84366813133783,,mandante,7.423076923076923,0.0
104646,Warley,Coritiba,LAT,Provável,3.850000000000001,9.9,1.55,0.0,0.0,25.693158745156182,13.427658612572259,0.23296315510884158,1.5637037037037036,1.7965337466535156,São Paulo,16,7,6.900000000000001,-0.4,,14.98308427938762,visitante,0.0,1.4538461538461538
86759,Luan,Santos,MEI,Provável,4.8,9.8,1.33,6.277142857142857,0.5952380952380951,26.11488163949877,12.787310136016886,0.1570829829157974,4.172499999999999,4.994928119206687,Internacional,10,4,9.7,0.5,,20.449451380663483,visitante,0.0,1.7115384615384615
107170,Jeffinho,Botafogo,ATA,Provável,3.86,9.8,1.37,18.560588235294116,3.5294117647058822,32.206695706424405,12.95048538414336,1.584178809260491,14.438823529411764,7.519746865308015,Palmeiras,9,11,5.15,8.566666666666666,18.890015020213355,,mandante,3.3509615384615383,0.0
86970,Eduardo Bauermann,Santos,ZAG,Provável,9.86,9.8,0.78,3.5714285714285716,0.0,36.34383824511976,13.83009279752422,0.38097211209254994,3.584230769230769,14.103326454230649,Internacional,10,4,6.366666666666667,3.55,,20.449451380663483,visitante,0.0,3.0115384615384615
