"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
36443,"Nelson de Jesus Silva","Dida",5.00,"http://s.glbimg.com/es/sde/f/2015/10/28/fd43d173eedfdc19543aeabf0c3da25b_FORMATO.jpeg"
36540,"Juan Silveira dos Santos","Juan",14.00,"http://s.glbimg.com/es/sde/f/2010/12/30/804ea225337148abcf3d897835d66983_FORMATO.jpeg"
36591,"Leonardo José Aparecido de Moura","Leonardo",3.00,"http://s.glbimg.com/es/sde/f/2015/10/27/d5e8507192d9322c4f53a757c6e9514f_FORMATO.png"
36612,"José Roberto da Silva Júnior","Zé Roberto",25.00,"http://s.glbimg.com/es/sde/f/2015/10/27/a80cf2f6933ac511ae97850b3a09548c_FORMATO.jpeg"
36650,"Magno Alves de Araújo","Magno Alves",7.00,"http://s.glbimg.com/es/sde/f/2015/07/23/aa9c1c62ffae570d4258b6d392046a3d_FORMATO.jpeg"
36790,"Josué Anunciado de Oliveira","Josué",5.00,"http://s.glbimg.com/es/sde/f/2015/10/28/ebdc80152c50a1a286df19ba7daf2fd6_FORMATO.png"
36802,"Ronaldo de Assis Moreira","Ronaldinho Gaúcho",20.00,"http://s.glbimg.com/es/sde/f/2015/07/21/280c6167d30b8f31efa62c9931c7d14d_FORMATO.jpeg"
36856,"Celso Juarez Roth","Celso Roth",9.59,"http://s.glbimg.com/es/sde/f/2010/11/18/8873abde4ad46200c20910f77ff5fb28_FORMATO.jpeg"
36940,"Oswaldo de Oliveira","Oswaldo de Oliveira",9.00,"http://s.glbimg.com/es/sde/f/2015/10/22/a98187e0eb846998d20a355af4a93410_FORMATO.jpeg"
37085,"René Rodrigues Simões","René Simões",6.57,"http://s.glbimg.com/es/sde/f/2014/12/16/b7d02905a27962bbf76f955bb5598f53_FORMATO.jpeg"
37086,"Artur Alves da Silva Neto","Artur Neto",13.13,"http://s.glbimg.com/es/sde/f/2012/09/11/59eb5c737b48c83e263e3dc702f345c1_FORMATO.jpeg"
37187,"Paulo César Lopes de Gusmão","PC Gusmão",6.70,"http://s.glbimg.com/es/sde/f/2010/11/12/2b38bf17eb5e83415a5535344d7d0b6c_FORMATO.jpeg"
37245,"Augusto Sérgio Ferreira","Guto Ferreira",4.00,"http://s.glbimg.com/es/sde/f/2015/10/30/52895584b529204df1d892930a55b713_FORMATO.jpeg"
37246,"Ney Franco da Silveira Júnior","Ney Franco",5.82,"http://s.glbimg.com/es/sde/f/2015/10/30/8d1c27841b6a54e5f2e7890506053821_FORMATO.jpeg"
37281,"Luis Antônio Venker de Menezes","Mano Menezes",9.93,"http://s.glbimg.com/es/sde/f/2012/09/09/7ed7876d86d249681ff06534b51c377d_FORMATO.jpeg"
37306,"Gilson Kleina","Gilson Kleina",3.00,"http://s.glbimg.com/es/sde/f/2012/01/14/f939c2fe85de2659bb50a2260dd4755f_FORMATO.jpeg"
37604,"Paulo André Cren Benini","Paulo André",11.00,"http://s.glbimg.com/es/sde/f/2015/10/28/760fe0b9230d9677c52a51ee7fc2dc65_FORMATO.jpeg"
37607,"Michel Fernandes Bastos","Michel Bastos",16.00,"http://s.glbimg.com/es/sde/f/2015/05/01/72c39d55711a506400e8229d3d83c022_FORMATO.jpeg"
37608,"Cristian Mark Junio Nascimento Oliveira ","Cristian",9.00,"http://s.glbimg.com/es/sde/f/2015/01/15/74de7feaa529a7c31e5ce24b209f031a_FORMATO.jpeg"
37613,"Dagoberto Pelentier","Dagoberto",19.00,"http://s.glbimg.com/es/sde/f/2015/10/28/28c97cbb0ab309bf21327df9fdccff1e_FORMATO.png"
37623,"Rafael Marques Pinto","Rafael Marques",4.00,"http://s.glbimg.com/es/sde/f/2015/10/30/68a7f9fba439a4697b66415356f9dfa3_FORMATO.png"
37627,"Rodrigo Oliveira de Bittencourt","Diguinho",6.00,"http://s.glbimg.com/es/sde/f/2015/10/28/8a12f301865333bbab354488f8455c52_FORMATO.png"
37633,"Lúcio Flávio dos Santos","Lúcio Flávio",5.00,"http://s.glbimg.com/es/sde/f/2015/10/30/41aca3d7c58352bf69536cab33c2ec5f_FORMATO.png"
37644,"Rodrigo Baldasso da Costa","Rodrigo",18.00,"http://s.glbimg.com/es/sde/f/2015/10/28/a00f970bb46610e06699b8a5239d6770_FORMATO.png"
37652,"Carlos Alberto Gomes de Jesus","Carlos Alberto",8.00,"http://s.glbimg.com/es/sde/f/2010/11/12/49e2a088b96fc29ba64e938a75aabc74_FORMATO.jpeg"
37653,"Nilmar Honorato da Silva","Nilmar",17.00,"http://s.glbimg.com/es/sde/f/2015/01/15/a8e42c4983ac87ffae524122491a9824_FORMATO.jpeg"
37654,"Adolfo Rosinei Nascimento","Rosinei",6.00,"http://s.glbimg.com/es/sde/f/2015/07/22/87792c485ec15ca794068f0d2f19e7e9_FORMATO.jpeg"
37655,"Rafael Martiniano de Miranda Moura","Rafael Moura",9.00,"http://s.glbimg.com/es/sde/f/2015/10/28/0b53933b1ca87954dd8788b3a6dca0f0_FORMATO.jpeg"
37656,"Fábio Deivson Lopes Maciel","Fábio",21.00,"http://s.glbimg.com/es/sde/f/2015/01/15/4dd216e88c47ce4a7a7500c80b1d5fec_FORMATO.png"
37657,"Eduardo Luís Abonizio de Souza","Edu Dracena",6.00,"http://s.glbimg.com/es/sde/f/2010/11/17/8a658791303c38d50cb95ee483075e3a_FORMATO.jpeg"
37662,"Jonathan Cícero Moreira","Jonathan",8.00,"http://s.glbimg.com/es/sde/f/2010/11/17/d0a4174d40f3ec0ae50f348533d67a5d_FORMATO.jpeg"
37663,"Julio Cesar Coelho de Moraes Júnior","Julio Cesar",4.00,"http://s.glbimg.com/es/sde/f/2015/10/28/46c891c6f213dfdb5fbf229b3a8891fb_FORMATO.png"
37673,"Alecsandro Barbosa Felisbino","Alecsandro",16.00,"http://s.glbimg.com/es/sde/f/2015/10/27/801b1eda2ef13817cc22d11548d67a66_FORMATO.jpeg"
37674,"Wagner Ferreira dos Santos","Wagner",12.00,"http://s.glbimg.com/es/sde/f/2015/01/15/4d7aec67ca5f9387bf1d09fef14ba33c_FORMATO.jpeg"
37688,"Cícero Santos","Cícero",10.00,"http://s.glbimg.com/es/sde/f/2015/01/15/33ffe678b5ba456a6e0fc74723d11752_FORMATO.jpeg"
37694,"Henrique Pacheco de Lima","Henrique",12.00,"http://s.glbimg.com/es/sde/f/2015/01/15/2e301da99b00b363e36f5878fef4976b_FORMATO.png"
37695,"Diego Salgado Costa de Meneses","Diego",3.00,"http://s.glbimg.com/es/sde/f/2015/07/22/4b0ff28fb34d6bdc315bef569a2f7031_FORMATO.jpeg"
37705,"Juan Maldonado Jaimez Júnior","Juan",5.00,"http://s.glbimg.com/es/sde/f/2015/10/30/d75888cc6e0708360aca1a2206f1362c_FORMATO.png"
37718,"Marcos Arouca da Silva","Arouca",5.00,"http://s.glbimg.com/es/sde/f/2015/10/27/55c4051e6dc9326a050fa5d25682c3a3_FORMATO.jpeg"
37770,"Marcelo Grohe","Marcelo Grohe",28.00,"http://s.glbimg.com/es/sde/f/2015/10/28/14da0a6a02690dd4a745c2dc7acbb596_FORMATO.jpeg"
37781,"Marcelo Pereira da Costa","Marcelo Costa",10.00,"http://s.glbimg.com/es/sde/f/2015/10/28/259f11c9e7b9554907da55074cc9e8bd_FORMATO.jpeg"
37783,"Ramon Rodrigo de Freitas","Ramon",6.00,"http://s.glbimg.com/es/sde/f/2013/04/23/f0fb42a60cdeeed725d8795cae985f4f_FORMATO.jpeg"
37784,"Germán Gustavo Herrera","Herrera",12.00,"http://s.glbimg.com/es/sde/f/2015/10/28/ece4027ad89adf4eaa31d4740a041ada_FORMATO.png"
37790,"Marcos Venâncio de Albuquerque","Ceará",6.00,"http://s.glbimg.com/es/sde/f/2015/01/15/380534354a63b593618195d671820fa2_FORMATO.png"
37792,"Edimo Ferreira Campos","Edinho",4.00,"http://s.glbimg.com/es/sde/f/2015/07/22/74b1250ab922ab3facddad4390e9b97a_FORMATO.jpeg"
37794,"Paulo César Fonseca do Nascimento","Tinga",6.00,"http://s.glbimg.com/es/sde/f/2015/01/15/7ea6ce7d1e010f89476d658ace40ba55_FORMATO.png"
37837,"Cristian Martins Cabral","Cristian",3.00,"http://s.glbimg.com/es/sde/f/2014/05/04/a76c9538d80114ef0bc56d3ecd89ed94_FORMATO.jpeg"
37840,"Gustavo Franchin Schiavolin","Gustavo",6.00,"http://s.glbimg.com/es/sde/f/2015/03/04/6d0cf73c42c81f80606710f7ad3a5a26_FORMATO.png"
37851,"Maicosuel Reginaldo de Matos","Maicosuel",9.00,"http://s.glbimg.com/es/sde/f/2010/11/12/59df881bcffb30ae8da743288e899544_FORMATO.jpeg"
37899,"Renan Brito Soares","Renan",12.00,"http://s.glbimg.com/es/sde/f/2015/07/22/0b1e40820556ff66c00e75f7298a0372_FORMATO.jpeg"
37917,"Elano Blumer","Elano",13.00,"http://s.glbimg.com/es/sde/f/2010/12/07/264a04bb9ef29de01e0aa83e91c132e1_FORMATO.jpeg"
37919,"Luis Fabiano Clemente","Luis Fabiano",19.00,"http://s.glbimg.com/es/sde/f/2015/05/01/67504eda1a5f8728a743715d11e9bf88_FORMATO.jpeg"
37941,"Humberlito Borges Teixeira","Borges",19.00,"http://s.glbimg.com/es/sde/f/2015/05/07/5c4327c9c16d80eec8bef248ade36ddd_FORMATO.jpeg"
37958,"Luiz Felipe Ventura dos Santos","Felipe",10.00,"http://s.glbimg.com/es/sde/f/2015/01/15/3dd3dd6f2d02bdb2872a79ce6b72325e_FORMATO.jpeg"
37984,"Mário Lúcio Duarte Costa","Aranha",6.00,"http://s.glbimg.com/es/sde/f/2015/10/27/73b2f36e3fcfea31f9a437258438de26_FORMATO.jpeg"
37993,"Almir Lopes de Luna","Almir",6.00,"http://s.glbimg.com/es/sde/f/2015/10/29/c2d6717bbb23d6af5590b802cbef63c2_FORMATO.png"
38021,"Wendel Geraldo Maurício e Silva","Wendel",9.00,"http://s.glbimg.com/es/sde/f/2015/10/27/4c0221aab66a08ab3125b1d351f2f604_FORMATO.png"
38032,"Cleber Santana Loureiro","Cleber Santana",6.00,"http://s.glbimg.com/es/sde/f/2015/10/30/0199882475860cb70b4bcc6e8ad10a19_FORMATO.png"
38043,"Alessandro da Conceição Pinto","Alessandro",4.00,"http://s.glbimg.com/es/sde/f/2015/07/21/cc170f10b8a2f82d5c68fae67fa76066_FORMATO.png"
38055,"Rogério Ceni","Rogério Ceni",27.00,"http://s.glbimg.com/es/sde/f/2010/11/16/26a2befe651824215d84a88996adb9d9_FORMATO.jpeg"
38061,"Edcarlos Conceição Santos","Edcarlos",4.00,"http://s.glbimg.com/es/sde/f/2015/10/28/21ff67ce5c6305eef6ee480c499e287b_FORMATO.png"
38064,"Denilson Pereira Neves","Denilson",12.00,"http://s.glbimg.com/es/sde/f/2011/08/11/295ced2620291052d9ff5427c8d13b90_FORMATO.jpeg"
38067,"Danilo Gabriel de Andrade","Danilo",14.00,"http://s.glbimg.com/es/sde/f/2013/04/12/ac43527cf2ea70ce5bfd12a16c689912_FORMATO.jpeg"
38069,"Richarlyson Barbosa Felisbino","Richarlyson",10.00,"http://s.glbimg.com/es/sde/f/2015/10/30/c17045193122605d87418d4428e70ee0_FORMATO.png"
38074,"Ygor Maciel Santiago","Ygor",6.00,"http://s.glbimg.com/es/sde/f/2015/01/15/8367311969554fb7f971894773de9604_FORMATO.jpeg"
38100,"Severino dos Ramos Durval da Silva","Durval",12.00,"http://s.glbimg.com/es/sde/f/2015/10/27/afef5c1bc563c6a88c111878bfe99fc0_FORMATO.png"
38108,"Jorge Henrique de Souza","Jorge Henrique",9.00,"http://s.glbimg.com/es/sde/f/2015/10/28/d450b43d60b235898e5ceb4a24830263_FORMATO.png"
38138,"João Alves de Assis Silva","Jô",10.00,"http://s.glbimg.com/es/sde/f/2014/06/11/66e3fce8820ca5f08202898a9e02857e_FORMATO.jpeg"
38139,"Deyvison Rogério da Silva","Bobô",6.00,"http://s.glbimg.com/es/sde/f/2015/10/28/2ffdd42eaa622fae1cc8d7ef14ce3d33_FORMATO.jpeg"
38140,"Fernando Buttenbender Prass","Fernando Prass",12.00,"http://s.glbimg.com/es/sde/f/2015/10/27/ed96cf08afb03602d74d3f637effa84b_FORMATO.jpeg"
38150,"Marcos Vicente dos Santos","Marquinhos",13.00,"http://s.glbimg.com/es/sde/f/2015/07/22/71efa8309e409d562554da4941354d5c_FORMATO.jpeg"
38162,"Frederico Chaves Guedes","Fred",30.00,"http://s.glbimg.com/es/sde/f/2014/06/11/558840826d114d32d4785adf70f69146_FORMATO.jpeg"
38178,"Roberto César Zardin Rodrigues","Roberto",6.00,"http://s.glbimg.com/es/sde/f/2015/07/22/fc8dd0a8203542591f01552a661fb473_FORMATO.jpeg"
38186,"Adriano Laaber","Adrianinho",6.00,"http://s.glbimg.com/es/sde/f/2015/05/07/7934532b57904d0577a6f389027bd6c0_FORMATO.jpeg"
38187,"Fellype Gabriel de Melo e Silva","Fellype Gabriel",10.00,"http://s.glbimg.com/es/sde/f/2015/10/27/8e2c6b7a71d2d73adc741d19114477fc_FORMATO.jpeg"
38194,"Antônio Carlos dos Santos Aguiar","Antônio Carlos",8.00,"http://s.glbimg.com/es/sde/f/2015/07/21/0f0a2af323eeb74e8f90dc73e690a830_FORMATO.png"
38196,"Maicon Thiago Pereira de Souza","Maicon",12.00,"http://s.glbimg.com/es/sde/f/2015/10/28/8edad398dedafe5835b9784a931ae108_FORMATO.jpeg"
38219,"Alex Raphael Meschini","Alex",22.00,"http://s.glbimg.com/es/sde/f/2015/10/28/42ac19b8d2e0d0ba731f3da471a39286_FORMATO.jpeg"
38229,"Fábio Santos Romeu","Fábio Santos",13.00,"http://s.glbimg.com/es/sde/f/2013/04/12/fe510b8c4df86946e6f669befa9f2e41_FORMATO.jpeg"
38246,"Robson de Souza","Robinho",29.00,"http://s.glbimg.com/es/sde/f/2015/12/04/45b272e148a169a4e57a14b387358b00_FORMATO.jpeg"
38247,"William Júnior Salles de Lima Souza","William",8.00,"http://s.glbimg.com/es/sde/f/2011/08/11/ea7431fb7c2ded0aa1f69714a22c26d5_FORMATO.jpeg"
38278,"Willian Kozlowski Alves da Silva","William Kozlowski",3.00,"http://s.glbimg.com/es/sde/f/2015/07/22/06b1c7571d5df0924128221b85321c52_FORMATO.jpeg"
38279,"Wellington Pereira do Nascimento","Wellington Paulista",12.00,"http://s.glbimg.com/es/sde/f/2015/01/15/8502f4569812f7225718bfa11d452ce5_FORMATO.jpeg"
38287,"Roger Rodrigues da Silva","Roger",9.00,"http://s.glbimg.com/es/sde/f/2015/07/21/cf3f67a3b834e5513a65b66be8ff1023_FORMATO.png"
38311,"Márcio Rodrigues Araújo","Márcio Araújo",9.00,"http://s.glbimg.com/es/sde/f/2015/10/29/cf2b9312bd46c66daec22ed6c133dca3_FORMATO.png"
38315,"Jadson Rodrigues da Silva","Jadson",18.00,"http://s.glbimg.com/es/sde/f/2015/01/15/eb36f046f37addbe921c4c1660c6fce1_FORMATO.jpeg"
38365,"Carlos Henrique dos Santos Souza","Henrique",6.00,"http://s.glbimg.com/es/sde/f/2015/01/15/b5ffce23287da56bd68726adecbacfa0_FORMATO.jpeg"
