"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
36460,"Juliano Haus Belletti","Belletti",8.00,"http://s.glbimg.com/es/sde/f/2010/11/12/4190b635312a90a84c25e6be129d41a3_FORMATO.jpeg"
36470,"Euller Elias de Carvalho","Euller",8.00,NULL
36541,"Gilberto da Silva Melo","Gilberto",15.00,"http://s.glbimg.com/es/sde/f/2010/11/17/7470101ae44307f662671f8e20d8605b_FORMATO.jpeg"
36591,"Leonardo José Aparecido de Moura","Leonardo",2.00,"http://s.glbimg.com/es/sde/f/2011/08/12/8fd443a8ddd48c27d33b04099dfcdb41_FORMATO.jpeg"
36606,"Ricardo Luiz Pozzi Rodrigues","Ricardinho",12.00,"http://s.glbimg.com/es/sde/f/2010/11/16/801e9cbc1c2fdc84eeacd44027946147_FORMATO.jpeg"
36628,"José Edmilson Gomes Moraes","Edmílson",8.00,"http://s.glbimg.com/es/sde/f/2011/08/14/6d735a632155e094e18c11fbd2d18d50_FORMATO.jpeg"
36650,"Magno Alves de Araújo","Magno Alves",15.00,"http://s.glbimg.com/es/sde/f/2010/12/29/52403d624849eaedcfaadaf887102543_FORMATO.jpeg"
36670,"Irênio José Soares Filho","Irênio",6.00,"http://s.glbimg.com/es/sde/f/2011/09/18/6747da85a5363e8f656ac84d7f3e3e1a_FORMATO.jpeg"
36691,"Cláudio Roberto da Silva","Cláudio Caçapa",6.00,"http://s.glbimg.com/es/sde/f/2010/11/17/9af88b4fc052a201bbd3e5ea097c8e2f_FORMATO.jpeg"
36699,"Flávio Emídio dos Santos Vieira","Flávio",8.00,"http://s.glbimg.com/es/sde/f/2011/09/21/6c4b19079bf24a1a2720876977265d91_FORMATO.jpeg"
36728,"Marcos Antônio de Lima","Índio",9.00,"http://s.glbimg.com/es/sde/f/2010/11/18/760bb34888d550a1ad79b65231916688_FORMATO.jpeg"
36771,"Fábio Júnior Pereira","Fábio Júnior",10.00,"http://s.glbimg.com/es/sde/f/2011/08/11/fece36bef792fab3c1f8b79121833996_FORMATO.jpeg"
36775,"Marcos dos Santos Assunção","Marcos Assunção",16.00,"http://s.glbimg.com/es/sde/f/2010/11/18/d1aaa711c2c443c40bbc046990e29f91_FORMATO.jpeg"
36784,"Túlio Lustosa Seixas Pinheiro","Túlio",6.00,"http://s.glbimg.com/es/sde/f/2011/08/10/fcc2236a334e8255c4cf937c5441a54c_FORMATO.jpeg"
36792,"Clemerson de Araújo Soares","Araújo",14.00,"http://s.glbimg.com/es/sde/f/2011/08/10/b1281c2468694914c020d4a9bcd16e22_FORMATO.jpeg"
