"atleta_id","nome_txt","apelido_txt","preco_editorial_num","foto_txt"
37684,"Anderson Sebastião Cardoso","Chicão",5.00,"http://s.glbimg.com/es/sde/f/2013/04/12/78a605ee0c6f41fb6f305e635f6a2fcc_FORMATO.jpeg"
37688,"Cícero Santos","Cícero",24.00,"http://s.glbimg.com/es/sde/f/2011/08/11/89c43954c2dc14106a7cf1754c364693_FORMATO.jpeg"
37694,"Henrique Pacheco de Lima","Henrique",4.00,"http://s.glbimg.com/es/sde/f/2010/11/17/42fd125a5efb760e5453520bcd55a712_FORMATO.jpeg"
37701,"Leonardo da Silva Moura","Léo Moura",22.00,"http://s.glbimg.com/es/sde/f/2010/11/12/9a2661677f3ebab0dc3e39140265d15b_FORMATO.jpeg"
37705,"Juan Maldonado Jaimez Júnior","Juan",10.00,"http://s.glbimg.com/es/sde/f/2010/11/12/8bbad623b801275fcce8c18165b94e38_FORMATO.jpeg"
37718,"Marcos Arouca da Silva","Arouca",18.00,"http://s.glbimg.com/es/sde/f/2010/11/17/547a6acf7e52e757591d13c52b544856_FORMATO.jpeg"
37749,"Harlei de Menezes Silva","Harlei",3.00,"http://s.glbimg.com/es/sde/f/2012/09/14/7946f45f174788842818dcf16f71c76c_FORMATO.jpeg"
37762,"Rodrigo de Souza Cardoso","Souza",10.00,"http://s.glbimg.com/es/sde/f/2010/11/17/ea7d5584e0a2fd76c1ad586657462da7_FORMATO.jpeg"
37767,"Rodrigo José Galatto","Galatto",10.00,"http://s.glbimg.com/es/sde/f/2013/05/22/6adeaa755a32ea1feb916dbe0adc2da2_FORMATO.jpeg"
37770,"Marcelo Grohe","Marcelo Grohe",17.00,"http://s.glbimg.com/es/sde/f/2010/11/19/20337a6a95afd6eae8812b2a6e89de53_FORMATO.jpeg"
37783,"Ramon Rodrigo de Freitas","Ramon",5.00,"http://s.glbimg.com/es/sde/f/2013/04/23/f0fb42a60cdeeed725d8795cae985f4f_FORMATO.jpeg"
37789,"Fabian Guedes","Bolívar",13.00,"http://s.glbimg.com/es/sde/f/2010/11/18/1c8ce3881da89c89d8c4aab0c7a847ba_FORMATO.jpeg"
37790,"Marcos Venâncio de Albuquerque","Ceará",8.00,"http://s.glbimg.com/es/sde/f/2012/07/12/88b92d91481bda80514e4d0c1e8764ec_FORMATO.jpeg"
37792,"Edimo Ferreira Campos","Edinho",6.00,"http://s.glbimg.com/es/sde/f/2010/11/18/64fbdfbe8d99faf86aba1a07cab1b1eb_FORMATO.jpeg"
37794,"Paulo César Fonseca do Nascimento","Tinga",4.00,"http://s.glbimg.com/es/sde/f/2010/11/18/82bfbf07a88405a0d84f9822bb932d04_FORMATO.jpeg"
37795,"Jorge Wagner Góes Conceição","Jorge Wagner",15.00,"http://s.glbimg.com/es/sde/f/2010/11/16/da79a846d1c6cb6e1e9321e07aabce5c_FORMATO.jpeg"
37798,"Rafael Augusto Sobis do Nascimento","Rafael Sobis",5.00,"http://s.glbimg.com/es/sde/f/2010/11/18/f736b71a022706a8bcab771036ed4e5f_FORMATO.jpeg"
37816,"Marco Antônio Miranda Filho","Marco Antônio",4.00,"http://s.glbimg.com/es/sde/f/2012/01/04/b2677c11b3c398e3ca852fcf07e405e2_FORMATO.jpeg"
37818,"Hugo Henrique Assis do Nascimento","Hugo",15.00,"http://s.glbimg.com/es/sde/f/2012/07/17/3594649ca0b4be148fe45ba36043e30b_FORMATO.jpeg"
37826,"Paulo César Baier","Paulo Baier",10.00,"http://s.glbimg.com/es/sde/f/2011/08/12/5aba16f18c07d6e6fde7f6a89f12c112_FORMATO.jpeg"
37840,"Gustavo Franchin Schiavolin","Gustavo",4.00,"http://s.glbimg.com/es/sde/f/2011/08/17/b89383b9960153cb2c91391ee1ddaa75_FORMATO.jpeg"
37848,"Leonardo Gonçalves Silva","Leonardo",5.00,"http://s.glbimg.com/es/sde/f/2011/08/14/8a4c17c39504afa7540b91bde1c70488_FORMATO.jpeg"
37851,"Maicosuel Reginaldo de Matos","Maicosuel",10.00,"http://s.glbimg.com/es/sde/f/2010/11/12/59df881bcffb30ae8da743288e899544_FORMATO.jpeg"
37899,"Renan Brito Soares","Renan",5.00,"http://s.glbimg.com/es/sde/f/2010/11/18/16fe6f634b3b59a32a8242581b1fcb33_FORMATO.jpeg"
