"atleta_rodada_id","atleta_id","rodada_id","clube_id","posicao_id","status_id","pontos_num","preco_num","variacao_num","media_num","jogos_num"
769,81898,1,327,4,5,3.40,9.12,0.12,3.40,1
770,78632,1,283,2,6,0.00,8.00,0.00,0.00,0
771,69033,1,327,4,5,0.00,8.00,0.00,0.00,0
772,62119,1,327,5,7,0.40,5.44,-1.56,0.40,1
773,51476,1,327,4,7,4.60,7.79,1.79,4.60,1
774,37941,1,327,5,5,-0.30,4.19,-1.81,-0.30,1
775,81881,1,327,1,7,6.40,8.38,3.38,6.40,1
776,84379,1,327,2,6,0.00,5.00,0.00,0.00,0
777,73863,1,327,4,7,6.20,8.24,3.24,6.20,1
778,89101,1,327,5,7,0.90,4.34,-0.66,0.90,1
779,38822,1,327,4,7,0.80,3.53,-0.47,0.80,1
780,68956,1,327,4,7,0.00,4.00,0.00,0.00,0
781,51549,1,327,3,5,0.00,4.00,0.00,0.00,0
782,88387,1,327,3,7,6.30,7.57,3.57,6.30,1
783,60794,1,327,2,5,0.00,4.00,0.00,0.00,0
784,82653,1,327,5,5,0.80,3.53,-0.47,0.80,1
785,38350,1,327,1,6,0.00,3.00,0.00,0.00,0
786,51702,1,327,3,7,2.10,3.75,0.75,2.10,1
787,84382,1,327,2,7,0.90,2.87,-0.13,0.90,1
788,91928,1,327,4,6,0.00,3.00,0.00,0.00,0
789,93886,1,327,4,6,0.00,3.00,0.00,0.00,0
790,84555,1,327,1,6,0.00,2.00,0.00,0.00,0
791,39152,1,327,2,6,0.00,2.00,0.00,0.00,0
792,82740,1,327,3,6,1.60,2.65,0.65,1.60,1
793,90635,1,327,4,6,0.00,1.47,-0.53,0.00,1
794,70165,1,327,5,6,0.00,2.00,0.00,0.00,0
795,93884,1,327,2,6,0.00,1.00,0.00,0.00,0
796,87402,1,327,3,6,0.00,1.00,0.00,0.00,0
797,93883,1,327,3,6,0.00,1.00,0.00,0.00,0
798,93885,1,327,4,6,0.00,1.00,0.00,0.00,0
799,90637,1,327,4,6,0.00,1.00,0.00,0.00,0
800,94933,1,327,5,6,0.00,1.00,0.00,0.00,0
801,39431,1,327,6,7,3.10,4.49,1.49,3.10,1
802,73649,1,282,5,5,0.00,28.00,0.00,0.00,0
803,38246,1,282,5,5,0.00,26.00,0.00,0.00,0
804,63013,1,282,2,7,0.00,24.00,0.00,0.00,0
805,68925,1,282,3,5,0.00,23.00,0.00,0.00,0
806,52950,1,282,1,7,0.00,20.00,0.00,0.00,0
807,79826,1,282,2,7,0.00,16.00,0.00,0.00,0
808,71829,1,282,4,5,0.00,14.00,0.00,0.00,0
809,81770,1,282,5,7,1.00,10.29,-2.71,1.00,1
810,63219,1,282,5,5,0.00,12.00,0.00,0.00,0
811,85027,1,282,5,7,0.00,11.00,0.00,0.00,0
812,50369,1,282,4,2,2.30,9.04,-0.96,2.30,1
813,51318,1,282,4,3,0.00,9.00,0.00,0.00,0
814,81223,1,282,3,7,0.00,8.00,0.00,0.00,0
815,60969,1,282,2,6,0.00,8.00,0.00,0.00,0
816,81682,1,282,4,7,5.70,9.34,2.34,5.70,1
817,79042,1,282,3,6,7.90,9.49,4.49,7.90,1
818,84851,1,282,4,6,3.60,6.32,1.32,3.60,1
819,69240,1,282,4,2,0.00,5.00,0.00,0.00,0
820,82758,1,282,5,6,4.60,7.06,2.06,4.60,1
821,37659,1,282,1,6,0.00,4.00,0.00,0.00,0
822,61211,1,282,2,6,7.00,8.09,4.09,7.00,1
823,78994,1,282,4,7,4.70,6.40,2.40,4.70,1
824,85418,1,282,1,6,4.30,5.37,2.37,4.30,1
825,38061,1,282,3,7,8.40,8.38,5.38,8.40,1
826,70987,1,282,5,6,1.80,3.53,0.53,1.80,1
827,68979,1,282,1,6,0.00,2.00,0.00,0.00,0
828,79553,1,282,2,6,0.00,2.00,0.00,0.00,0
829,84926,1,282,4,6,-0.50,1.10,-0.90,-0.50,1
830,93882,1,282,1,6,0.00,1.00,0.00,0.00,0
831,87393,1,282,3,6,13.70,10.81,9.81,13.70,1
832,68952,1,287,5,2,0.00,15.00,0.00,0.00,0
833,68930,1,287,5,7,8.10,15.52,2.52,8.10,1
834,60784,1,282,4,7,0.00,12.00,0.00,0.00,0
835,37613,1,287,5,6,0.00,10.00,0.00,0.00,0
836,95022,1,282,4,6,0.00,1.00,0.00,0.00,0
837,68725,1,287,2,7,1.40,7.65,-1.35,1.40,1
838,95023,1,282,5,6,0.00,1.00,0.00,0.00,0
839,72071,1,287,4,7,3.00,8.09,0.09,3.00,1
840,73766,1,1,6,7,5.86,14.61,0.61,5.86,1
841,71571,1,287,1,7,-8.00,0.74,-6.26,-8.00,1
842,39144,1,287,4,7,-0.80,4.56,-2.44,-0.80,1
843,82463,1,293,4,7,1.70,19.63,-5.37,1.70,1
844,63000,1,287,3,7,2.60,6.32,0.32,2.60,1
845,62128,1,293,5,7,-0.70,13.46,-5.54,-0.70,1
846,70058,1,287,4,2,-1.70,3.16,-2.84,-1.70,1
847,69705,1,293,4,2,-2.60,9.12,-5.88,-2.60,1
848,88087,1,287,3,7,-0.90,3.01,-1.99,-0.90,1
849,80374,1,287,2,6,0.00,5.00,0.00,0.00,0
850,71631,1,293,1,7,-5.00,5.15,-6.85,-5.00,1
851,63058,1,287,4,6,0.00,5.00,0.00,0.00,0
852,38394,1,293,3,7,0.40,7.65,-2.35,0.40,1
853,91100,1,287,4,2,-1.00,2.94,-2.06,-1.00,1
854,68893,1,293,5,6,0.00,9.00,0.00,0.00,0
855,68913,1,1,5,6,0.00,5.00,0.00,0.00,0
856,70111,1,287,3,5,0.00,4.00,0.00,0.00,0
857,84890,1,287,2,6,0.00,4.00,0.00,0.00,0
858,86842,1,293,5,7,-0.80,5.29,-2.71,-0.80,1
859,86859,1,287,4,7,-1.10,2.13,-1.87,-1.10,1
860,71162,1,293,4,7,1.00,5.88,-1.12,1.00,1
861,68962,1,315,4,6,0.00,4.00,0.00,0.00,0
862,71117,1,287,5,2,0.10,3.01,-0.99,0.10,1
863,86764,1,293,2,7,-0.30,4.19,-1.81,-0.30,1
864,37604,1,293,3,2,-4.30,0.74,-4.26,-4.30,1
865,92207,1,287,1,6,0.00,3.00,0.00,0.00,0
866,69018,1,293,4,5,0.00,5.00,0.00,0.00,0
867,86861,1,287,3,6,0.00,3.00,0.00,0.00,0
868,83266,1,293,4,2,0.00,5.00,0.00,0.00,0
869,85400,1,287,4,7,-0.60,1.76,-1.24,-0.60,1
870,91950,1,287,4,6,0.00,3.00,0.00,0.00,0
871,70928,1,287,5,6,0.60,2.65,-0.35,0.60,1
872,81543,1,287,3,6,0.00,2.00,0.00,0.00,0
873,80431,1,287,2,6,0.00,2.00,0.00,0.00,0
874,91102,1,287,4,6,0.00,2.00,0.00,0.00,0
875,93146,1,287,4,6,0.00,2.00,0.00,0.00,0
876,69138,1,293,5,2,-0.80,3.09,-1.91,-0.80,1
