"atleta_rodada_id","atleta_id","rodada_id","clube_id","posicao_id","status_id","pontos_num","preco_num","variacao_num","media_num","jogos_num"
811,38909,1,262,4,5,0.80,10.89,-4.11,0.80,1
812,83004,1,282,4,7,16.50,14.81,9.81,16.50,1
813,61033,1,264,4,7,16.50,23.08,6.08,16.50,1
814,37655,1,327,5,7,5.10,10.40,0.40,5.10,1
815,38350,1,327,1,6,0.00,3.00,0.00,0.00,0
816,38506,1,327,3,6,0.00,5.00,0.00,0.00,0
817,38632,1,327,3,6,0.00,6.00,0.00,0.00,0
818,38695,1,327,4,5,0.00,3.00,0.00,0.00,0
819,50361,1,327,3,7,6.20,8.40,2.40,6.20,1
820,50401,1,327,4,6,1.20,4.27,-0.73,1.20,1
821,50421,1,327,4,6,-0.50,3.10,-1.90,-0.50,1
822,60788,1,327,5,6,0.00,7.00,0.00,0.00,0
823,60822,1,327,4,6,0.00,5.00,0.00,0.00,0
824,60834,1,327,5,7,11.70,12.88,5.88,11.70,1
825,62137,1,327,6,7,10.05,8.99,5.99,10.05,1
826,63194,1,327,2,7,15.90,14.40,9.40,15.90,1
827,72097,1,327,2,5,0.00,6.00,0.00,0.00,0
828,80374,1,327,2,7,10.90,9.58,6.58,10.90,1
829,81881,1,327,1,5,0.00,6.00,0.00,0.00,0
830,82381,1,327,4,2,2.60,4.55,0.55,2.60,1
831,82939,1,327,4,6,0.00,6.00,0.00,0.00,0
832,84555,1,327,1,6,0.00,4.00,0.00,0.00,0
833,85930,1,327,5,7,5.10,7.65,1.65,5.10,1
834,87402,1,327,3,7,9.60,9.37,5.37,9.60,1
835,88002,1,327,4,7,17.90,15.78,10.78,17.90,1
836,88423,1,327,2,6,0.00,2.00,0.00,0.00,0
837,89285,1,327,4,6,0.00,5.00,0.00,0.00,0
838,90637,1,1,4,6,0.00,2.00,0.00,0.00,0
839,91928,1,327,4,7,10.70,9.44,6.44,10.70,1
840,92692,1,327,2,6,0.00,2.00,0.00,0.00,0
841,93886,1,327,4,5,0.00,4.00,0.00,0.00,0
842,94894,1,327,5,6,0.00,4.00,0.00,0.00,0
843,97317,1,327,4,6,0.40,0.96,-0.04,0.40,1
844,97453,1,327,1,7,13.70,10.13,9.13,13.70,1
845,97930,1,327,1,6,0.00,1.00,0.00,0.00,0
846,101725,1,327,5,6,0.00,1.00,0.00,0.00,0
847,102336,1,327,2,6,0.00,1.00,0.00,0.00,0
848,37718,1,282,4,6,0.00,4.00,0.00,0.00,0
849,37934,1,282,4,6,0.00,4.00,0.00,0.00,0
850,38229,1,282,2,7,-2.00,5.51,-4.49,-2.00,1
