"atleta_scout_id","rodada_id","atleta_id","scout_id","quantidade_num"
1,1,37688,1,0
2,1,37688,3,2
3,1,37688,2,0
4,1,37688,8,0
6,1,37688,9,0
9,1,37688,5,0
11,1,37688,18,0
12,1,37688,17,0
13,1,37688,14,0
14,1,37688,13,0
15,1,37688,7,0
16,1,37688,16,0
17,1,37688,4,0
18,1,37688,15,0
19,1,37784,1,0
21,1,37784,5,0
23,1,37784,17,1
24,1,37784,18,1
25,1,37784,9,1
27,1,37784,8,0
28,1,37784,2,1
30,1,37784,3,2
31,1,37784,14,0
32,1,37784,7,0
33,1,37784,13,0
34,1,37784,16,0
35,1,37784,4,0
36,1,37784,15,0
37,1,37851,1,0
39,1,37851,2,4
40,1,37851,8,0
42,1,37851,9,1
43,1,37851,3,3
46,1,37851,5,0
47,1,37851,18,0
48,1,37851,17,0
49,1,37851,13,0
50,1,37851,7,0
51,1,37851,16,0
52,1,37851,14,0
53,1,37851,4,0
54,1,37851,15,0
55,1,37919,1,0
56,1,37919,17,1
57,1,37919,18,3
59,1,37919,5,0
61,1,37919,14,0
62,1,37919,7,0
63,1,37919,13,0
64,1,37919,16,0
65,1,37919,3,1
66,1,37919,9,1
68,1,37919,8,0
69,1,37919,2,2
71,1,37919,4,0
72,1,37919,15,0
73,1,38064,1,0
74,1,38064,17,0
75,1,38064,18,0
78,1,38064,5,0
79,1,38064,7,0
80,1,38064,13,0
81,1,38064,16,0
82,1,38064,14,0
83,1,38064,9,6
85,1,38064,8,3
86,1,38064,2,1
88,1,38064,3,6
89,1,38064,4,0
90,1,38064,15,0
91,1,38109,1,0
92,1,38109,14,0
93,1,38109,16,2
94,1,38109,7,0
95,1,38109,13,2
96,1,38109,17,0
97,1,38109,18,0
99,1,38109,5,0
101,1,38109,3,0
102,1,38109,8,0
103,1,38109,2,0
104,1,38109,9,0
107,1,38109,4,0
108,1,38109,15,0
109,1,38187,1,0
110,1,38187,17,0
111,1,38187,18,1
114,1,38187,5,0
115,1,38187,3,2
118,1,38187,8,3
119,1,38187,2,3
120,1,38187,7,0
121,1,38187,13,0
122,1,38187,16,0
123,1,38187,14,0
124,1,38187,9,0
125,1,38187,4,1
126,1,38187,15,0
127,1,38196,1,0
128,1,38196,3,1
129,1,38196,8,2
130,1,38196,2,0
131,1,38196,9,0
134,1,38196,17,0
135,1,38196,18,0
