,clube,P
0,Palmeiras,74.4378183733805
1,Corinthians,64.91316531980856
2,Fluminense,58.25385764375236
3,Atlético-MG,57.58698903121412
4,Flamengo,57.30018101486167
5,Athletico-PR,57.23590718014851
6,Internacional,56.25682407749847
7,Santos,53.50733148241142
8,São Paulo,53.143807737648814
9,Bragantino,52.839450652607724
10,Botafogo,47.12526197391383
11,Ceará,46.916504222184166
12,Goiás,45.09100420548971
13,Coritiba,43.156351575935666
14,Fortaleza,41.364046985228846
15,Atlético-GO,38.90395464546105
16,Avaí,38.23711055491917
17,Cuiabá,37.1471923557412
18,América-MG,36.08771148512176
19,Juventude,35.82671798162221
