,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,21,17,5,12,11,1
1,Corinthians,16,14,10,4,9,2
2,Atlético-MG,15,13,8,5,8,3
3,São Paulo,13,14,10,4,9,4
4,Coritiba,13,12,10,2,9,5
5,Flamengo,12,9,7,2,8,6
6,Botafogo,12,11,9,2,8,7
7,Athletico-PR,12,7,11,-4,9,8
8,Santos,11,10,6,4,4,9
9,Fluminense,11,8,8,0,7,10
10,Internacional,11,8,8,0,5,11
11,América-MG,11,9,9,0,8,12
12,Bragantino,10,10,10,0,5,13
13,Avaí,10,9,12,-3,4,14
14,Goiás,9,8,11,-3,8,15
15,Ceará,9,12,15,-3,3,16
16,Cuiabá,8,6,10,-4,2,17
17,Atlético-GO,7,6,11,-5,5,18
18,Juventude,7,8,14,-6,6,19
19,Fortaleza,3,4,10,-6,2,20
