,clube,xGA_geral
0,Atlético-MG,0.9458686339207719
1,Palmeiras,1.0018042928881554
2,Flamengo,1.0139927587751976
3,Fortaleza,1.0400428453201236
4,Fluminense,1.1046696793094146
5,Corinthians,1.162008712687111
6,Internacional,1.172530369809404
7,São Paulo,1.2067761152226337
8,Cuiabá,1.2269549893573128
9,Atlético-GO,1.2842080590286122
10,Bragantino,1.3146419068126385
11,Coritiba,1.3205459917610052
12,Ceará,1.333315718755749
13,América-MG,1.3368282175525468
14,Botafogo,1.3386349755421107
15,Juventude,1.482298591266043
16,Athletico-PR,1.4905444113785813
17,Santos,1.5419941698164403
18,Avaí,1.556774836950121
19,Goiás,1.735285876937
