,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,70.51731818181818,1,69.01363636363637,2,72.02099999999999,1
1,Flamengo,61.91672727272727,2,88.768,1,35.06545454545455,16
2,Atlético-MG,60.48531818181819,3,60.75363636363637,7,60.217000000000006,2
3,Corinthians,56.78245454545454,4,67.06090909090909,3,46.504,3
4,Internacional,55.94072727272727,5,66.91600000000001,4,44.96545454545454,6
5,Bragantino,54.46213636363636,6,65.59700000000001,5,43.32727272727272,10
6,Fluminense,51.431363636363635,7,58.60181818181818,9,44.26090909090909,8
7,Athletico-PR,51.29425,8,58.965999999999994,8,43.6225,9
8,Santos,50.22118181818182,9,62.446363636363635,6,37.995999999999995,14
9,São Paulo,49.38363636363637,10,58.32363636363637,10,40.443636363636365,12
10,Coritiba,48.75222222222223,11,56.69333333333335,11,40.81111111111112,11
11,Botafogo,44.801818181818184,12,44.468181818181826,15,45.13545454545454,5
12,Fortaleza,44.76731818181818,13,43.331,17,46.203636363636356,4
13,América-MG,43.17181818181818,14,54.60545454545454,12,31.73818181818182,20
14,Goiás,42.974999999999994,15,48.14909090909091,13,37.80090909090909,15
15,Ceará,41.4005,16,38.371,20,44.43,7
16,Cuiabá,40.06795454545455,17,47.825,14,32.31090909090909,18
17,Atlético-GO,39.87954545454545,18,40.50272727272727,18,39.25636363636364,13
18,Avaí,39.36968181818182,19,43.78636363636363,16,34.952999999999996,17
19,Juventude,36.19472727272728,20,40.494,19,31.895454545454548,19
