,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Palmeiras,83.38166666666666,1,90.27333333333333,1,53.59833333333333,3
1,Flamengo,60.31,2,60.02,7,44.98166666666666,9
2,Corinthians,58.56666666666666,3,61.656666666666666,5,42.74666666666667,11
3,América-MG,56.21833333333334,4,62.835,3,49.526666666666664,5
4,Fluminense,55.0,5,59.76166666666666,8,53.43666666666667,4
5,Internacional,54.291666666666664,6,74.03666666666668,2,49.41833333333333,6
6,Fortaleza,53.07333333333333,7,61.873333333333335,4,44.52666666666667,10
7,Athletico-PR,51.199999999999996,8,59.69166666666667,9,33.98166666666666,17
8,Atlético-MG,47.96333333333333,9,55.09166666666667,10,48.63499999999999,7
9,Botafogo,47.72833333333333,10,48.49166666666667,13,63.81833333333333,1
10,Cuiabá,47.21666666666667,11,48.87166666666666,12,37.56166666666666,14
11,Santos,45.76333333333333,12,51.725,11,45.086666666666666,8
12,Goiás,44.835,13,40.01833333333334,17,42.199999999999996,12
13,Coritiba,44.61833333333333,14,60.26166666666666,6,38.92666666666667,13
14,São Paulo,43.01666666666666,15,45.41666666666666,14,55.635,2
15,Atlético-GO,41.49,16,41.89,15,30.816666666666663,18
16,Bragantino,37.49333333333334,17,40.89333333333334,16,35.58166666666667,15
17,Ceará,34.72833333333333,18,37.4,19,35.438333333333325,16
18,Juventude,32.561666666666675,19,40.0,18,28.37833333333334,20
19,Avaí,26.628333333333334,20,33.714999999999996,20,29.44666666666667,19
