,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Juventude,12.0,Santos,1.3884200036036929,1.2198281479063875,40.88,33.06,26.05,22.48,17.95,7.27
1,Bragantino,12.0,Coritiba,1.2856165491644669,1.092705942369368,40.52,31.85,27.63,23.95,18.27,9.35
2,Ceará,12.0,Atlético-MG,1.1149047278034219,1.3736810162148534,30.36,42.74,26.9,16.92,24.1,8.49
3,Flamengo,12.0,Cuiabá,1.740364706582846,1.3909509045044706,45.6,30.83,23.57,20.55,13.61,4.51
4,Goiás,12.0,Internacional,1.2148427317937205,1.1303622967201579,38.16,34.08,27.76,22.81,20.15,9.39
5,América-MG,12.0,Fluminense,1.3968368734023642,0.9352517732838108,48.02,25.05,26.92,29.82,15.17,9.17
6,Athletico-PR,12.0,Corinthians,1.1409190082189395,1.0416402786418613,38.35,32.41,29.23,24.21,20.27,11.25
7,Botafogo,12.0,São Paulo,1.359740650791647,1.2270111599668572,40.34,33.56,26.1,21.88,17.59,7.26
8,Palmeiras,12.0,Atlético-GO,1.5526610872712125,1.467902977952138,39.76,36.25,23.98,17.97,16.41,4.88
9,Avaí,12.0,Fortaleza,1.277826714761201,1.2444299592208696,37.39,36.05,26.55,20.36,20.07,7.9
