,rodada_id,mandante,visitante,prob_mandante_media,prob_empate_media,prob_visitante_media,prob_sg_mandante_media,prob_sg_visitante_media
0,19.0,São Paulo,Goiás,57.816074559242274,23.828862564253456,20.099910555706874,31.756586227615834,14.435052310322234
1,19.0,Botafogo,Athletico-PR,37.2877185243585,29.29397193175232,35.213456028085425,27.309393519476586,27.98175259774232
2,19.0,Avaí,Flamengo,27.706923753809633,26.880804634497153,47.31769970298496,21.868104962660667,29.5387954742597
3,19.0,Fluminense,Bragantino,46.87945887558609,25.70777439392604,29.2789751099081,24.37679086441353,17.100181534934194
4,19.0,Palmeiras,Internacional,56.76783938810689,23.69163405779027,21.395522588077814,38.04189370296373,17.563259163618177
5,19.0,Juventude,Ceará,32.041982373217245,30.015810950865212,39.75879011627118,26.119419272150466,33.51910814619049
6,19.0,Atlético-MG,Corinthians,50.86815591098903,27.292386899150387,23.68323683593398,33.98309379571144,22.545929006137143
7,19.0,Atlético-GO,América-MG,48.252315204047136,27.888342630984493,25.816834918270303,35.485669223721814,22.415668465687737
8,19.0,Fortaleza,Santos,38.27792321214712,30.97180529323133,32.53696171300459,31.64247708299097,34.64770271500427
9,19.0,Coritiba,Cuiabá,47.036766684852985,28.854780776774202,26.034308487211945,35.409030725189865,22.37402058603985
