,clube,xGA_geral
0,Atlético-MG,0.9065412234440053
1,Fortaleza,1.0203007331321994
2,Flamengo,1.0294604816718171
3,São Paulo,1.1033685948419802
4,Internacional,1.1213920884025712
5,Corinthians,1.126675508316508
6,América-MG,1.129560844561163
7,Palmeiras,1.1366060862464038
8,Athletico-PR,1.1395791140427067
9,Coritiba,1.1760764421872876
10,Fluminense,1.1924773435647293
11,Bragantino,1.2238170773767827
12,Atlético-GO,1.2515394491521312
13,Juventude,1.2762985396989
14,Avaí,1.2926969394860843
15,Botafogo,1.3197466380323597
16,Ceará,1.4008204052687008
17,Santos,1.4135449979040444
18,Cuiabá,1.508894797907492
19,Goiás,1.7026280045342443
