,clube,xGA_geral
0,Atlético-MG,0.8654499653556776
1,Flamengo,0.972190478241289
2,Fortaleza,1.0385130276408252
3,Palmeiras,1.0887555051638755
4,Fluminense,1.1411059175807652
5,Internacional,1.1735017037739293
6,São Paulo,1.1836852567207623
7,Corinthians,1.224496138616603
8,Bragantino,1.2563308659441623
9,Ceará,1.2843608553047519
10,Coritiba,1.3109550574096285
11,Atlético-GO,1.3206202206814894
12,Botafogo,1.3366715967418061
13,Juventude,1.346924382762096
14,Santos,1.3504261548012966
15,Cuiabá,1.353688409765626
16,Athletico-PR,1.3709382792408944
17,América-MG,1.3897133328458777
18,Avaí,1.5454858881684588
19,Goiás,1.689109624193228
