,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
1,Ceará,Fluminense,2.95,3.16,2.42,33.89830508474576,41.32231404958678,31.645569620253163
2,Botafogo,Cuiabá,1.9,3.36,4.13,52.63157894736842,24.213075060532688,29.761904761904763
3,São Paulo,Atlético-MG,2.58,3.12,2.87,38.75968992248062,34.843205574912886,32.05128205128205
4,América-MG,Internacional,2.61,3.08,2.74,38.31417624521073,36.496350364963504,32.467532467532465
5,Athletico-PR,Goiás,1.5,4.12,6.33,66.66666666666666,15.797788309636651,24.271844660194176
6,Palmeiras,Fortaleza,1.41,4.54,7.31,70.92198581560284,13.679890560875513,22.026431718061673
7,Atlético-GO,Santos,2.3,3.14,3.21,43.47826086956522,31.15264797507788,31.84713375796178
8,Avaí,Bragantino,3.22,3.3,2.2,31.05590062111801,45.45454545454545,30.303030303030305
9,Juventude,Coritiba,2.95,3.15,2.44,33.89830508474576,40.98360655737705,31.746031746031743
10,Flamengo,Corinthians,1.46,4.34,6.76,68.4931506849315,14.792899408284024,23.04147465437788
