,clube,xGA_geral
0,Atlético-MG,0.8761683099804775
1,Flamengo,0.94978407715379
2,Palmeiras,0.998994516197751
3,Fluminense,1.106756872176392
4,Internacional,1.1146881143145178
5,Corinthians,1.122532717070905
6,Fortaleza,1.1784158748892342
7,São Paulo,1.182146743578298
8,Cuiabá,1.2133458840529818
9,Bragantino,1.2571084011460747
10,Ceará,1.299130834099924
11,América-MG,1.3536497892010524
12,Botafogo,1.391010906461078
13,Atlético-GO,1.443669582874552
14,Santos,1.4638224008484797
15,Athletico-PR,1.482954268968962
16,Avaí,1.4918475636603468
17,Coritiba,1.4919362548209958
18,Juventude,1.573904906561539
19,Goiás,1.7697679108596351
