,atleta_id,apelido,clube_id,xG,clube
0,79631,Cano,266,6.101979480378598,Fluminense
1,89840,Calleri,276,5.963965941632966,São Paulo
2,109497,Marcos Leonardo,277,5.610097165324077,Santos
3,83257,Gabriel,262,4.7957746077412775,Flamengo
4,100762,Bissoli,314,4.670827683268275,Avaí
5,91607,Rony,275,4.519563515085741,Palmeiras
6,39148,Hulk,282,4.421737473653286,Atlético-MG
7,108422,Erison,263,4.148771676038045,Botafogo
8,90031,Mendoza,354,4.146085519460539,Ceará
9,98225,Pedro Raul,290,4.11963342393218,Goiás
10,101715,Alerrandro,280,4.063950435508813,Bragantino
11,104666,Moisés,356,4.016422358849019,Fortaleza
12,77544,Jorginho,373,3.9575097924443634,Atlético-GO
13,82766,Wellington Rato,373,3.6913558398580717,Atlético-GO
14,87999,Gustavo Scarpa,275,3.6181209462762633,Palmeiras
15,68920,Dudu,275,3.572927634751399,Palmeiras
16,81161,Léo Baptistão ,277,3.5471588881394296,Santos
17,80287,Luciano,276,3.52710433401987,São Paulo
18,80196,Yago Pikachu,356,3.436415898901585,Fortaleza
19,94583,Pedro,262,3.3071918202427035,Flamengo
20,109282,Luiz Henrique,266,3.2296059120498932,Fluminense
21,102878,Terans,293,3.1536571262128112,Athletico-PR
22,89898,Róger Guedes,264,3.1337847060799664,Corinthians
23,101254,Alef Manga,294,3.1328016346865653,Coritiba
24,94509,Raphael Veiga,275,3.1310511675453188,Palmeiras
25,87863,Arrascaeta,262,3.1233330123938976,Flamengo
26,53865,Léo Gamalho,294,3.0676541027251685,Coritiba
27,85931,Hyoran,280,3.035729506114338,Bragantino
28,104530,Igor Paixão,294,2.942014846923632,Coritiba
29,96340,Lima,354,2.935757263017255,Ceará
30,95799,Artur,280,2.9083778876441313,Bragantino
31,70360,Eduardo Sasha,282,2.8935076106384803,Atlético-MG
32,106822,Rodrigo Nestor,276,2.7672879603770917,São Paulo
33,61033,Rodriguinho,1371,2.6453083354448648,Cuiabá
34,73850,Aloísio,327,2.582592695507715,América-MG
35,108133,Pitta,286,2.5532161478876647,Juventude
36,114802,Vitor Roque,293,2.4069402599419765,Athletico-PR
37,94916,Nacho Fernández,282,2.390834497560048,Atlético-MG
38,63289,Edenílson,285,2.3821088165279054,Internacional
39,60825,Felipe Azevedo,327,2.336509714579897,América-MG
40,87242,Carlos de Pena,285,2.2946688302981832,Internacional
41,98289,Churín,373,2.2333415349284316,Atlético-GO
42,100103,Pedrinho,327,2.220322908708695,América-MG
43,71684,Gustavo Gómez,275,2.2122483779552042,Palmeiras
44,104125,Cléber,354,2.2033235795465917,Ceará
45,100848,Luan Cândido,280,2.193606026064065,Bragantino
46,82455,Zé Rafael,275,2.166584860825421,Palmeiras
47,104521,Vinícius Zanocelo,277,2.1441467219823593,Santos
48,69141,Ricardo Bueno,286,2.0318501006434855,Juventude
49,69138,Pablo,293,1.982952549134839,Athletico-PR
50,83433,Patrick,276,1.972519391458288,São Paulo
51,98909,Cuello,293,1.9653710794806385,Athletico-PR
52,110727,Rubens,282,1.9650825695380778,Atlético-MG
53,93478,Wanderson,285,1.9034094932472103,Internacional
54,71162,Vina,354,1.879813038458514,Ceará
55,72583,Pedro Henrique,285,1.8594344538337668,Internacional
56,98219,Alemão,285,1.8570520162212953,Internacional
57,38225,Muriqui,314,1.8466969314484778,Avaí
58,90309,David,285,1.846655717964055,Internacional
59,102598,Helinho,280,1.822605306768248,Bragantino
60,90715,Luiz Fernando ,373,1.8040970185126013,Atlético-GO
61,106107,Airton,373,1.8017766668168755,Atlético-GO
62,99440,Baralhas,373,1.7505701551492436,Atlético-GO
63,101314,Ademir,282,1.7411741075832605,Atlético-MG
64,104778,Adrián Martínez,294,1.6822620895208527,Coritiba
