,clube,xGA_geral
0,Atlético-MG,0.8842989346801773
1,Flamengo,0.9182937379645151
2,Palmeiras,1.0226620461275742
3,Fortaleza,1.0685726008049357
4,Fluminense,1.135474658844605
5,Corinthians,1.1370801565578326
6,Internacional,1.1559848827830055
7,Cuiabá,1.1884780604429608
8,São Paulo,1.2164779901729905
9,Bragantino,1.2692788044095265
10,Botafogo,1.2965888916314392
11,Ceará,1.3084026127656783
12,Coritiba,1.3383726081635194
13,América-MG,1.401673484855451
14,Atlético-GO,1.4344553850896968
15,Juventude,1.4665398460877002
16,Athletico-PR,1.4889324403162663
17,Santos,1.50031687087683
18,Avaí,1.5601612312144209
19,Goiás,1.7713639203104456
