,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,74.82794642857142,1,76.79875,1,72.85714285714285,1
1,Atlético-MG,63.838333333333324,2,69.36999999999999,4,58.306666666666665,2
2,Corinthians,62.195892857142866,3,71.01750000000001,3,53.374285714285726,3
3,Fluminense,56.38928571428572,4,65.2,7,47.57857142857143,7
4,Flamengo,56.283611111111114,5,76.255,2,36.312222222222225,17
5,Bragantino,55.50723214285715,6,65.61875,5,45.39571428571429,10
6,Coritiba,54.29638888888889,7,65.24777777777778,6,43.345,11
7,Internacional,53.72714285714286,8,58.144285714285715,11,49.31,6
8,Athletico-PR,53.27809523809524,9,54.392857142857146,12,52.163333333333334,4
9,Santos,52.69611111111111,10,59.392222222222216,9,46.00000000000001,9
10,São Paulo,52.12690476190477,11,63.53714285714286,8,40.71666666666667,12
11,Botafogo,47.28214285714286,12,48.51428571428572,13,46.050000000000004,8
12,Ceará,43.71053571428571,13,35.83857142857143,20,51.5825,5
13,Cuiabá,42.93089285714286,14,46.534285714285716,14,39.3275,13
14,América-MG,42.9068253968254,15,58.271428571428565,10,27.54222222222222,20
15,Atlético-GO,42.105000000000004,16,45.96875,16,38.24125000000001,15
16,Fortaleza,41.355535714285715,17,46.3225,15,36.38857142857143,16
17,Avaí,40.55499999999999,18,45.72374999999999,17,35.386250000000004,18
18,Goiás,39.324375,19,43.486250000000005,18,35.1625,19
19,Juventude,38.53044642857142,20,38.72714285714285,19,38.33375,14
