,clube,Goal_diff_geral,xG_diff_geral
4,Fortaleza,-0.5,0.2214330113439611
7,Atlético-GO,-0.45833333333333326,0.07524262278096971
8,América-MG,-0.09999999999999987,0.0751900734240285
