,clube,P
0,Palmeiras,72.46598015630504
1,Corinthians,62.3394367009053
2,Fluminense,56.59495170870492
3,Flamengo,55.568495448445276
4,Athletico-PR,55.48799022814448
5,Atlético-MG,54.82973595543772
6,Internacional,54.60969296493214
7,Santos,52.08160492657419
8,Bragantino,51.81919931905177
9,São Paulo,50.74705113624275
10,Ceará,46.03172046633162
11,Botafogo,45.25121719183246
12,Goiás,44.082973060543004
13,Coritiba,41.06777242376735
14,Fortaleza,40.45815664313013
15,Avaí,39.0771455682786
16,Atlético-GO,38.723597824206735
17,Cuiabá,37.124743941039085
18,América-MG,36.54049238764458
19,Juventude,35.772800332490576
