,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,46,35,11,24,11,1
1,Corinthians,37,26,17,9,10,2
2,Fluminense,32,25,20,5,11,3
3,Internacional,30,26,19,7,6,4
4,Atlético-MG,30,25,19,6,6,5
5,Athletico-PR,29,23,22,1,5,6
6,Flamengo,28,24,17,7,10,7
7,Bragantino,28,30,24,6,10,8
8,Santos,27,21,14,7,8,9
9,São Paulo,24,26,23,3,5,10
10,Ceará,24,22,22,0,7,11
11,Goiás,23,21,24,-3,6,12
12,Botafogo,22,18,24,-6,4,13
13,Avaí,22,19,28,-9,4,14
14,Coritiba,20,20,29,-9,5,15
15,América-MG,19,12,22,-10,4,16
16,Cuiabá,18,12,19,-7,5,17
17,Atlético-GO,18,17,26,-9,1,18
18,Fortaleza,17,14,20,-6,6,19
19,Juventude,17,15,30,-15,6,20
