,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Fluminense,15.0,Corinthians,1.375400429818352,1.2473417262198356,40.14,34.07,25.79,21.93,18.39,7.18
1,Juventude,15.0,Atlético-MG,1.0546262869291283,1.314203526166796,30.35,42.52,27.13,17.87,25.45,8.98
2,Santos,15.0,Flamengo,1.3703104956322893,1.3365935833556395,38.32,36.09,25.59,19.67,18.61,6.66
3,Ceará,15.0,Internacional,1.0967812813259985,1.1352232928266137,35.27,35.84,28.89,21.77,22.52,11.05
4,Palmeiras,15.0,Athletico-PR,1.6268914657869566,1.3446131448280694,44.04,32.0,23.96,20.82,14.8,5.12
5,Avaí,15.0,Cuiabá,1.40700732472671,0.9977374540108386,46.62,26.35,27.03,27.99,15.21,8.68
6,Atlético-GO,15.0,São Paulo,1.6667108864631015,1.6084692843726298,39.63,37.19,23.18,16.18,15.07,3.53
7,América-MG,15.0,Goiás,1.4167477305616845,1.1126202358762314,44.37,29.33,26.3,24.75,15.74,7.8
8,Coritiba,15.0,Fortaleza,1.3515349147577382,1.2343226197366615,39.88,33.58,26.55,21.79,18.02,7.88
9,Bragantino,15.0,Botafogo,1.3692185094185263,1.1264627348417877,42.45,30.79,26.77,24.0,17.13,7.95
