,clube,Média Geral,Ranking Geral,Média Mandante,Ranking Mandantes,Média Visitante,Ranking Visitantes
0,Bragantino,75.72666666666667,1,59.800000000000004,7,51.37833333333333,6
1,Fluminense,72.70666666666666,2,72.87166666666667,3,46.416666666666664,8
2,Atlético-MG,66.71,3,68.38333333333334,4,61.089999999999996,3
3,Flamengo,62.29,4,75.38166666666666,2,29.778333333333336,18
4,Internacional,61.36333333333332,5,59.89000000000001,6,52.32833333333334,5
5,Palmeiras,60.85333333333333,6,77.70333333333333,1,76.47333333333333,1
6,Athletico-PR,58.526666666666664,7,55.73166666666666,8,62.89166666666666,2
7,Fortaleza,53.035000000000004,8,51.09,11,44.10833333333333,9
8,Corinthians,52.218333333333334,9,68.18,5,49.995,7
9,Ceará,46.51,10,42.71166666666667,20,55.15833333333333,4
10,Goiás,45.38333333333333,11,47.58166666666667,15,38.910000000000004,14
11,São Paulo,45.36499999999999,12,54.56333333333333,9,41.60166666666667,11
12,Botafogo,45.34666666666667,13,44.291666666666664,17,39.438333333333325,12
13,Santos,44.833333333333336,14,50.559999999999995,13,36.255,16
14,Cuiabá,44.053333333333335,15,50.61666666666667,12,28.381666666666664,19
15,Coritiba,42.78,16,52.50833333333335,10,42.25333333333334,10
16,América-MG,42.31,17,46.23833333333334,16,27.254999999999995,20
17,Avaí,39.62,18,44.02,18,30.691666666666663,17
18,Juventude,39.236666666666665,19,42.88999999999999,19,39.074999999999996,13
19,Atlético-GO,37.69166666666667,20,49.544999999999995,14,38.04166666666667,15
