,atleta_id,apelido,clube_id,xG,clube
0,83257,Gabriel,262,9.093823882776372,Flamengo
1,79631,Cano,266,9.00426075808486,Fluminense
2,98225,Pedro Raul,290,8.758072013699612,Goiás
3,109497,Marcos Leonardo,277,8.600201919988713,Santos
4,89840,Calleri,276,8.368999437913685,São Paulo
5,89898,Róger Guedes,264,7.230187170329979,Corinthians
6,90031,Mendoza,354,7.171830266068391,Ceará
7,39148,Hulk,282,7.140655911799466,Atlético-MG
8,100762,Bissoli,314,7.041174359178579,Avaí
9,91607,Rony,275,6.757364376501647,Palmeiras
10,87242,Carlos de Pena,285,6.466782660326741,Internacional
11,82766,Wellington Rato,373,6.080379552141633,Atlético-GO
12,101254,Alef Manga,294,6.028297082021332,Coritiba
13,108133,Pitta,286,6.0131553892287135,Juventude
14,68920,Dudu,275,5.835910006991482,Palmeiras
15,87999,Gustavo Scarpa,275,5.616321947996202,Palmeiras
16,80287,Luciano,276,5.603746604510451,São Paulo
17,94583,Pedro,262,5.480583547827329,Flamengo
18,108422,Erison,263,5.425629438387089,Botafogo
19,95799,Artur,280,5.083291360508491,Bragantino
20,104666,Moisés,356,5.068843604738986,Fortaleza
21,101715,Alerrandro,280,4.899379638611577,Bragantino
22,68773,Henrique Almeida,327,4.831539950632551,América-MG
23,102878,Terans,293,4.6999548599158905,Athletico-PR
24,77544,Jorginho,373,4.699142161274484,Atlético-GO
25,60825,Felipe Azevedo,327,4.690481856498699,América-MG
26,61033,Rodriguinho,1371,4.610405886612055,Cuiabá
27,87863,Arrascaeta,262,4.5605971334707185,Flamengo
28,72583,Pedro Henrique,285,4.377432947192488,Internacional
29,98289,Churín,373,4.337271300391065,Atlético-GO
30,77809,William Pottker,314,4.248147712540862,Avaí
31,98219,Alemão,285,4.17543292535479,Internacional
32,104530,Igor Paixão,294,4.132168028965797,Coritiba
33,106822,Rodrigo Nestor,276,4.027919447022023,São Paulo
34,71162,Vina,354,3.9934838861991,Ceará
35,86485,Keno,282,3.944869467656206,Atlético-MG
36,110193,Lázaro,262,3.8510638454851662,Flamengo
37,104521,Vinícius Zanocelo,277,3.83161034538964,Santos
38,82455,Zé Rafael,275,3.813838572640776,Palmeiras
39,81161,Léo Baptistão ,277,3.746324617104774,Santos
40,100848,Luan Cândido,280,3.7226927075323224,Bragantino
41,53865,Léo Gamalho,294,3.714973643554292,Coritiba
42,94509,Raphael Veiga,275,3.6524828633819624,Palmeiras
43,84674,Lucas Evangelista,280,3.640547961153533,Bragantino
44,85931,Hyoran,280,3.527113444880392,Bragantino
45,105647,Maurício,285,3.523047956180903,Internacional
46,101314,Ademir,282,3.5117795449484284,Atlético-MG
47,105171,Fabrício,294,3.457823942092716,Coritiba
48,70360,Eduardo Sasha,282,3.39666527486381,Atlético-MG
49,104778,Adrián Martínez,294,3.35012575956426,Coritiba
50,80196,Yago Pikachu,356,3.3158087532893874,Fortaleza
51,94916,Nacho Fernández,282,3.246047343146884,Atlético-MG
52,63289,Edenílson,285,3.2157954408432117,Internacional
53,73850,Aloísio,327,3.201048701910441,América-MG
54,96340,Lima,354,3.1787808901737606,Ceará
55,84817,Robson,356,3.141061592732126,Fortaleza
56,102598,Helinho,280,3.0904302168226363,Bragantino
57,114802,Vitor Roque,293,3.084204781464089,Athletico-PR
58,91151,Everaldo,327,3.0506578130380895,América-MG
59,93478,Wanderson,285,3.030638461544911,Internacional
60,102318,Caio Paulista,266,3.0155563749134093,Fluminense
61,111831,Matheus Martins,266,2.9970234322790295,Fluminense
62,90715,Luiz Fernando,373,2.99371351917429,Atlético-GO
63,90715,Luiz Fernando ,373,2.86701673978921,Atlético-GO
64,100103,Pedrinho,327,2.8321454981362253,América-MG
65,111682,Adson,264,2.830417221880877,Corinthians
66,83433,Patrick,276,2.828199328747731,São Paulo
67,100652,Yuri Alberto,264,2.8167480088979464,Corinthians
68,68685,Alan Patrick,285,2.8152377658218315,Internacional
69,97653,Murilo,275,2.777343864469658,Palmeiras
70,51772,Everton Ribeiro,262,2.7761522677625052,Flamengo
71,107170,Jeffinho,263,2.7291460822413836,Botafogo
72,69138,Pablo,293,2.7266360204604974,Athletico-PR
73,94263,Dadá Belmonte,290,2.6980526308643995,Goiás
74,79188,Silvio Romero,356,2.6930283597273483,Fortaleza
75,101596,Vitor Gabriel,286,2.6689258395003654,Juventude
76,109282,Luiz Henrique,266,2.668702496652076,Fluminense
77,105811,Wesley,275,2.6672553375852535,Palmeiras
78,98909,Cuello,293,2.664750127708341,Athletico-PR
79,100079,Zaracho,282,2.607070544863608,Atlético-MG
80,87228,Guilherme Arana,282,2.528264272356328,Atlético-MG
