,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Cuiabá,10.0,Corinthians,0.8951299835780069,0.8776949898913512,33.36,33.16,33.48,24.27,23.94,17.13
1,América-MG,10.0,Ceará,1.3920223959819553,1.300920249300368,39.31,35.05,25.64,20.73,17.94,6.74
2,Juventude,10.0,Athletico-PR,1.0356382970042062,1.1178661400978123,33.21,37.37,29.42,20.91,24.05,11.47
3,Bragantino,10.0,Flamengo,1.1187378762380977,1.1152546575229998,35.64,35.68,28.68,22.14,22.44,11.23
4,Atlético-GO,10.0,Avaí,1.5787073497324646,1.249124857875794,44.6,30.1,25.29,22.68,14.65,6.21
5,Fluminense,10.0,Atlético-MG,1.1698531963898842,1.4832589379377357,29.51,44.64,25.86,15.36,24.32,6.73
6,Santos,10.0,Internacional,1.3797567804007609,1.2862429760425873,38.87,34.8,26.33,20.95,17.8,7.07
7,Palmeiras,10.0,Botafogo,1.5221604278703773,1.3666425070436818,41.2,34.37,24.44,19.57,16.02,5.15
8,Fortaleza,10.0,Goiás,1.4527077217389683,1.266721559365163,41.63,32.68,25.68,21.77,16.53,6.76
9,Coritiba,10.0,São Paulo,1.641774487799176,1.4737955614117926,42.05,34.51,23.44,18.4,15.0,4.25
