,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,61,41,14,27,11,1
1,Corinthians,47,31,22,9,6,2
2,Fluminense,46,33,23,10,10,3
3,Internacional,43,31,22,9,9,4
4,Atlético-MG,39,28,22,6,5,5
5,Athletico-PR,39,27,27,0,6,6
6,São Paulo,37,34,25,9,9,7
7,Bragantino,37,34,28,6,5,8
8,Botafogo,37,24,25,-1,11,9
9,Santos,35,25,19,6,4,10
10,Flamengo,35,29,24,5,3,11
11,Ceará,33,25,27,-2,5,12
12,Goiás,33,25,28,-3,6,13
13,Avaí,32,22,34,-12,6,14
14,América-MG,31,16,24,-8,8,15
15,Coritiba,31,23,33,-10,7,16
16,Cuiabá,28,17,24,-7,6,17
17,Fortaleza,26,20,28,-8,5,18
18,Juventude,24,18,38,-20,3,19
19,Atlético-GO,23,19,34,-15,1,20
