,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate,sg_mandante_total,sg_visitante_total,sg_total
0,Corinthians,31.0,Athletico-PR,1.426394899354063,1.0506867943049114,45.94,27.16,26.91,26.21,15.28,8.33,34.54,23.61,58.15
1,Santos,31.0,Juventude,1.7206739401392181,1.1095187559375097,51.84,24.3,23.86,27.35,11.97,6.16,33.510000000000005,18.130000000000003,51.64000000000001
2,Cuiabá,31.0,Flamengo,1.2182231736579114,1.3017260965245832,34.47,39.05,26.47,18.75,21.55,7.85,26.6,29.4,56.0
3,Coritiba,31.0,Bragantino,1.4256395934403965,1.246064443971318,41.09,32.58,26.32,22.02,17.27,7.1,29.119999999999997,24.369999999999997,53.489999999999995
4,Internacional,31.0,Goiás,1.7702338872676542,1.2834605337462197,49.37,27.43,23.21,23.41,11.98,4.49,27.9,16.47,44.37
5,Fortaleza,31.0,Avaí,1.7356154082092323,1.3078764966709393,47.57,29.2,23.23,21.77,13.05,4.82,26.59,17.87,44.46
6,Atlético-MG,31.0,Ceará,1.5408002804305685,1.3843930458528604,40.77,34.29,24.94,19.89,16.18,5.33,25.22,21.509999999999998,46.73
7,Atlético-GO,31.0,Palmeiras,1.3793195617556653,1.524636028131169,34.77,40.98,24.25,16.47,19.74,5.45,21.919999999999998,25.189999999999998,47.11
8,São Paulo,31.0,Botafogo,1.5525153631884323,1.3839043835474958,41.37,34.11,24.52,19.53,15.65,5.24,24.770000000000003,20.89,45.660000000000004
9,Fluminense,31.0,América-MG,1.692990062056667,1.4609887813538225,42.79,33.49,23.72,18.57,14.54,4.37,22.94,18.91,41.85
