,clube,xG_mean,xG_total
0,Palmeiras,1.693217233303319,47.41008253249293
1,Flamengo,1.6530870860603797,46.286438409690625
2,Internacional,1.5006103101762676,43.517698995111765
3,Atlético-MG,1.4775653008842184,42.84939372564241
4,América-MG,1.4027659894602984,40.68021369434865
5,Bragantino,1.358990124692038,39.41071361606911
6,São Paulo,1.3965535576574932,39.10349961440985
7,Atlético-GO,1.341651195712181,38.907884675653236
8,Fluminense,1.3171932025705924,38.198602874547184
9,Fortaleza,1.2932579953293086,37.504481864549945
10,Santos,1.2827235565283597,37.198983139322465
11,Coritiba,1.2677524025397655,35.49706727111346
12,Botafogo,1.187025632204543,34.42374333393176
13,Ceará,1.177814261516385,34.15661358397516
14,Corinthians,1.176302212572212,34.11276416459414
15,Athletico-PR,1.1161863065802238,32.36940289082646
16,Avaí,1.105739472304208,32.06644469682207
17,Juventude,1.0584100240209593,30.693890696607806
18,Cuiabá,1.056687052184152,30.6439245133404
19,Goiás,0.9606030110292842,27.857487319849227
