,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Avaí,Atlético-MG,5.24,3.72,1.67,19.083969465648853,59.88023952095809,26.881720430107524
1,Botafogo,Coritiba,1.86,3.45,4.28,53.76344086021505,23.364485981308412,28.985507246376812
2,Bragantino,Goiás,1.56,3.86,6.35,64.1025641025641,15.748031496062993,25.90673575129534
3,Ceará,São Paulo,2.34,3.17,3.13,42.73504273504274,31.948881789137378,31.545741324921135
4,Flamengo,Fluminense,1.64,3.95,5.27,60.97560975609756,18.975332068311197,25.316455696202528
5,América-MG,Corinthians,2.76,3.03,2.71,36.23188405797102,36.90036900369004,33.003300330033
6,Juventude,Fortaleza,3.21,3.11,2.34,31.15264797507788,42.73504273504274,32.154340836012864
7,Palmeiras,Santos,1.47,4.47,6.72,68.02721088435374,14.880952380952381,22.371364653243848
8,Athletico-PR,Cuiabá,1.81,3.46,4.6,55.24861878453039,21.73913043478261,28.901734104046245
9,Atlético-GO,Internacional,3.28,3.16,2.27,30.48780487804878,44.052863436123346,31.645569620253163
