,clube,ranking_clube,fase
0,Fortaleza,9,86.67
1,Palmeiras,1,73.33
2,Internacional,2,73.33
3,Flamengo,3,66.67
4,São Paulo,12,66.67
5,Corinthians,5,66.67
6,Santos,11,60.0
7,Botafogo,10,60.0
8,Atlético-GO,18,53.33
9,Athletico-PR,6,46.67
10,Atlético-MG,7,46.67
11,América-MG,8,40.0
12,Coritiba,15,40.0
13,Fluminense,4,40.0
14,Cuiabá,17,26.67
15,Bragantino,13,26.67
16,Ceará,16,20.0
17,Juventude,20,13.33
18,Goiás,14,13.33
19,Avaí,19,0.0
