,clube,xP,ranking_xp
0,Palmeiras,36.459999999999994,1
1,Flamengo,36.35,2
2,Atlético-MG,34.32,3
3,Internacional,32.23,4
4,Fluminense,29.659999999999997,5
5,São Paulo,28.73,6
6,Fortaleza,28.01,7
7,Bragantino,27.98,8
8,América-MG,27.369999999999994,9
9,Corinthians,25.57,10
10,Atlético-GO,24.770000000000003,11
11,Botafogo,23.96,12
12,Ceará,23.92,13
13,Cuiabá,23.84,14
14,Santos,23.669999999999998,15
15,Coritiba,23.33,16
16,Juventude,21.28,17
17,Athletico-PR,20.709999999999997,18
18,Avaí,20.339999999999996,19
19,Goiás,17.08,20
