,clube,xP,ranking_xp
0,Flamengo,35.11000000000001,1
1,Palmeiras,34.870000000000005,2
2,Atlético-MG,33.52,3
3,Internacional,31.12,4
4,Fluminense,29.68,5
5,Fortaleza,29.35,6
6,São Paulo,29.019999999999996,7
7,Bragantino,27.44,8
8,Coritiba,25.24,9
9,Corinthians,25.21,10
10,Ceará,25.109999999999996,11
11,Botafogo,24.609999999999996,12
12,América-MG,24.37,13
13,Cuiabá,24.02,14
14,Santos,24.009999999999998,15
15,Atlético-GO,23.999999999999996,16
16,Juventude,21.050000000000004,17
17,Athletico-PR,20.950000000000003,18
18,Avaí,20.67,19
19,Goiás,18.060000000000002,20
