,atleta_id,apelido,ranking
0,101727,Matheuzinho,1
1,94583,Pedro,2
2,89840,Calleri,3
3,94509,Raphael Veiga,4
4,102878,Terans,5
5,108422,Erison,6
6,79113,Víctor Cuesta,7
7,90285,Bruno Henrique,8
8,73800,Rodrigo Caio,9
9,51772,Everton Ribeiro,10
10,89226,Iago Maidana,11
11,79631,Cano,12
12,89284,Paulo Sousa,13
13,87999,Gustavo Scarpa,14
14,96725,Saravia,15
15,39148,Hulk,16
16,101574,Hugo Souza,17
17,89274,Andreas Pereira,18
18,88393,Ayrton Lucas,19
19,74061,Gatito Fernández,20
