,rodada_id,atleta_id,apelido,clube,posicao,preco_open,pontos_num,variacao_num,ieo_gm_mean,iao_gm_mean,ied_gm_mean,ieg_gm_mean,iro_gm,irp_gm,ippc_gm_mean,ranking_clube,fase,prob_vitoria_mandante,prob_vitoria_visitante,prob_vitoria,mando,XP_mandante,XP_visitante,XP,media_movel_mandante,media_movel_visitante,media_movel,odds,points_next,binary_prob
461,3,116994,Popó,Bragantino,ATA,3.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
462,3,124158,Everton,Bragantino,ATA,1.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
463,3,109246,Kawê,Bragantino,ATA,1.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,4,44.528858067006894,30.09130668651146,30.09130668651146,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
464,3,107052,Stênio,Cruzeiro,ATA,3.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,6,75.10544059889264,25.278172858510654,75.10544059889264,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
465,3,124251,Deivid Washington,Santos,ATA,1.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,4,44.528858067006894,6.461672356513207,6.461672356513207,visitante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
468,3,108133,Isidro Pitta,Cuiabá,ATA,4.27,0.0,-0.6,0.0,0.0,31.784725902372962,5.4472409311118986,3.703333333333333,1.3993625126331342,0.0999087591240876,0,1,44.528858067006894,31.187524485002843,31.187524485002843,visitante,0.0,3.75,0,0.65,0.5,0.65,0,0,0.0
469,3,103076,Mateus Gonçalves,América-MG,ATA,4.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,0,40.26551428554431,25.278172858510654,40.26551428554431,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
492,3,108211,Breno,Goiás,ATA,1.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
493,3,118304,Pedrinho,Goiás,ATA,2.0,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
494,3,101684,Philippe Costa,Goiás,ATA,1.94,0.0,0.0,0.0,0.0,31.784725902372962,5.4472409311118986,0.0,0.0,0.0,0,3,28.915469257349386,25.278172858510654,28.915469257349386,mandante,0.0,0.0,0,0.0,0.0,0.0,0,0,0.0
514,3,98219,Alemão,Internacional,ATA,9.26,-1.9,-1.59,0.0,0.0,31.182358829417648,5.4472409311118986,15.453333333333333,4.536881276443901,0.4817752920377722,0,7,44.528858067006894,27.632859035387906,27.632859035387906,visitante,0.0,8.2,0,0.3500000000000001,8.2,0.3500000000000001,0,0,0.0
456,3,87242,Carlos de Pena,Internacional,MEI,6.85,7.9,1.58,28.986666666666665,13.333333333333336,30.303244420891485,5.4472409311118986,11.49,4.842738441147984,0.4313990540611858,0,7,44.528858067006894,27.632859035387906,27.632859035387906,visitante,0.0,0.8,0,4.3500000000000005,0.8,4.3500000000000005,0,0,0.0
461,3,96089,Machado,Cruzeiro,MEI,4.4700000000000015,5.5,1.02,66.66666666666667,0.0,31.784725902372962,5.4472409311118986,0.0,4.7886655057780585,1.1529577772634936,0,6,75.10544059889264,25.278172858510654,75.10544059889264,mandante,7.55,0.0,0,6.1,3.0,6.1,0,0,0.0
467,3,63289,Edenílson,Atlético-MG,MEI,5.279999999999999,5.2,0.81,33.333333333333336,0.0,41.11405523170229,5.4472409311118986,0.0,5.492981190700769,0.6319003993422599,0,4,44.528858067006894,27.841289290166287,27.841289290166287,visitante,0.0,1.85,0,2.6,4.7,2.6,0,0,0.0
470,3,63058,Willian Farias,Coritiba,MEI,2.65,4.7,1.13,0.0,0.0,37.71065182829889,5.4472409311118986,0.0,3.454612274898934,0.5911949685534591,0,1,44.528858067006894,7.512902640261236,7.512902640261236,visitante,0.0,3.0,0,2.35,0.0,2.35,0,0,0.0
474,3,81091,Jair,Vasco,MEI,7.460000000000001,4.1,0.52,0.0,0.0,38.8282400047106,5.4472409311118986,0.0,6.114581948690683,0.3724350224279521,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,3.45,0,1.9,5.4,1.9,0,0,0.0
476,3,109461,Calebe,Fortaleza,MEI,4.88,4.1,0.84,0.0,0.0,36.789142083259726,5.4472409311118986,10.866666666666665,3.5016286644951147,0.6598377701801038,0,7,44.528858067006894,40.12066006498785,40.12066006498785,visitante,0.0,1.4,0,4.4,-0.2,4.4,0,0,0.0
479,3,110776,Orellano,Vasco,MEI,2.65,3.9,0.87,0.0,0.0,34.006948124595176,5.4472409311118986,2.563333333333333,2.5920510434667023,0.4905660377358491,0,4,44.528858067006894,25.16077194889739,25.16077194889739,visitante,0.0,1.5,0,1.95,0.0,1.95,0,0,0.0
