,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,72.90174242424241,1,76.47166666666666,2,69.33181818181816,1
1,Flamengo,66.46130769230768,2,88.768,1,44.154615384615376,12
2,Atlético-MG,61.93545454545455,3,64.10000000000001,6,59.77090909090909,2
3,Internacional,59.62981060606061,4,70.09545454545456,3,49.16416666666666,5
4,Corinthians,57.72905303030303,5,68.49083333333334,4,46.967272727272714,7
5,Fluminense,54.51776223776224,6,64.77461538461539,5,44.26090909090909,11
6,Bragantino,54.07670454545455,7,62.40090909090909,8,45.7525,9
7,Santos,54.00117424242424,8,63.42416666666666,7,44.57818181818182,10
8,Athletico-PR,53.129230769230766,9,56.66,11,49.598461538461535,3
9,Fortaleza,52.29291666666666,10,55.26,12,49.32583333333333,4
10,Coritiba,51.213769230769245,11,61.78153846153849,9,40.646,14
11,São Paulo,49.41791666666667,12,58.671666666666674,10,40.16416666666667,15
12,Botafogo,46.150000000000006,13,45.71666666666667,16,46.583333333333336,8
13,Goiás,45.57541666666667,14,47.718333333333334,15,43.432500000000005,13
14,América-MG,44.997083333333336,15,52.17333333333334,13,37.82083333333333,17
15,Ceará,44.62863636363636,16,40.86272727272728,20,48.394545454545444,6
16,Cuiabá,42.56795454545454,17,48.99090909090909,14,36.144999999999996,18
17,Atlético-GO,41.02416666666666,18,43.4725,19,38.57583333333333,16
18,Avaí,39.57867424242424,19,44.119166666666665,18,35.03818181818182,19
19,Juventude,38.09128787878788,20,44.29090909090909,17,31.89166666666667,20
