,clube,xG_total,xGA_total,xG_saldo
0,Flamengo,44.06429618277009,24.054085260358804,20.01021092241129
1,Palmeiras,45.05737255417038,26.38347488094675,18.673897673223628
2,Atlético-MG,40.71486451049858,24.429205539304427,16.285658971194152
3,Internacional,39.98786877639192,29.96392105138696,10.023947725004959
4,Fluminense,35.563941459597025,29.83810528858507,5.725836171011956
5,São Paulo,35.30408456754033,31.48307694500288,3.8210076225374507
6,Bragantino,37.40563733661617,34.2107910413517,3.194846295264469
7,Fortaleza,34.49400403066016,31.60566693089422,2.8883370997659377
8,América-MG,37.895719573143595,36.61017500767737,1.2855445654662248
9,Corinthians,30.363656902150943,31.31079916036402,-0.9471422582130771
10,Atlético-GO,35.118446515594904,38.03839638562961,-2.9199498700347064
11,Cuiabá,28.237843953069074,32.51587999383564,-4.278036040766565
12,Ceará,30.886289267056377,35.657416664400216,-4.7711273973438395
13,Santos,35.052418417588896,39.95994060327744,-4.907522185688542
14,Coritiba,34.163947881343084,39.258685701550256,-5.094737820207172
15,Botafogo,32.90393153787461,38.195672899088294,-5.291741361213681
16,Athletico-PR,29.722503428741252,40.09707278075719,-10.374569352015936
17,Juventude,28.783492487682153,40.13670041165607,-11.353207923973919
18,Avaí,28.64740448153746,41.187184487908084,-12.539780006370624
19,Goiás,27.938326425856097,47.369799255908134,-19.431472830052037
