,clube,xP,ranking_xp
0,Palmeiras,36.64,1
1,Flamengo,36.2,2
2,Atlético-MG,35.28,3
3,Internacional,33.04,4
4,Fluminense,30.88,5
5,São Paulo,29.590000000000003,6
6,Fortaleza,28.330000000000002,7
7,Bragantino,27.68,8
8,América-MG,26.91,9
9,Corinthians,26.699999999999996,10
10,Atlético-GO,24.88,11
11,Ceará,24.700000000000003,12
12,Botafogo,24.17,13
13,Cuiabá,24.010000000000005,14
14,Santos,23.87,15
15,Coritiba,23.53,16
16,Avaí,21.17,17
17,Athletico-PR,20.869999999999997,18
18,Juventude,18.999999999999996,19
19,Goiás,15.4,20
