,scout,atleta_id,rodada_id,clube_id,posicao_id,status_id,pontos_num,preco_num,variacao_num,media_num,jogos_num,minimo_para_valorizar,slug,apelido,apelido_abreviado,nome,foto,status
0,"{'CA': 1, 'DS': 12, 'FC': 9, 'FD': 2, 'FF': 1, 'FS': 8, 'PC': 1, 'PI': 31}",95638,9,356,3,7,2.3,6.09,0.2,1.97,7,,marcelo-benevenuto,Marcelo Benevenuto,M. Benevenuto,Marcelo da Conceição Benevenuto Malaquias,https://s.glbimg.com/es/sde/f/2022/05/12/5021e3ea5f8c3db816a9537e53808b5a_FORMATO.png,Provável
1,"{'CA': 2, 'DS': 3, 'FC': 3, 'FD': 3, 'FF': 5, 'FS': 7, 'G': 2, 'I': 7, 'PI': 28}",83257,9,262,5,7,0.0,11.33,0.0,3.47,7,,gabriel,Gabriel,Gabriel,Gabriel Barbosa Almeida,https://s.glbimg.com/es/sde/f/2022/04/25/8ce4db9e01696fbbc278bb084f675352_FORMATO.png,Provável
2,"{'CA': 2, 'DS': 9, 'FC': 7, 'FF': 1, 'FS': 5, 'PI': 17, 'SG': 3}",104250,9,264,3,5,0.0,6.25,0.0,3.33,7,,joao-victor,João Victor,J. Victor,João Victor da Silva Marcelino,https://s.glbimg.com/es/sde/f/2022/04/27/f3e5573d52686895a481f6eb2b0189bb_FORMATO.png,Contundido
3,"{'CA': 3, 'CV': 1, 'DS': 13, 'FC': 9, 'FS': 9, 'PC': 2, 'PI': 75, 'SG': 2}",104257,9,1371,2,6,0.8,5.33,0.23,1.7,7,,joao-lucas,João Lucas,J. Lucas,João Lucas de Almeida Carvalho,https://s.glbimg.com/es/sde/f/2022/02/23/9aab91f181711232b92dd27558ae246d_FORMATO.png,Nulo
4,{},110506,9,275,6,7,6.76,12.6,0.33,6.48,8,,abel-ferreira,Abel Ferreira,A. Ferreira,Abel Fernando Moreira Ferreira,https://s.glbimg.com/es/sde/f/2021/04/27/574e87d52be9d06fd03fa69fefb60255_FORMATO.png,Provável
5,"{'CA': 3, 'DS': 6, 'FC': 3, 'FD': 1, 'FF': 4, 'FS': 4, 'G': 3, 'I': 2, 'PI': 27, 'SG': 3}",71684,9,275,3,6,0.0,16.64,0.0,7.63,6,,gustavo-gomez,Gustavo Gómez,G. Gómez,Gustavo Raúl Gómez Portillo,https://s.glbimg.com/es/sde/f/2022/02/21/f210b8623194d0722dd0d76585950fb1_FORMATO.png,Nulo
6,"{'CA': 1, 'DE': 31, 'FS': 1, 'GS': 8, 'SG': 3}",96468,9,285,1,7,7.0,8.53,0.9,4.16,9,,daniel,Daniel,Daniel,Daniel de Sousa Brito,https://s.glbimg.com/es/sde/f/2022/04/02/9ce578918b5a7d98112629368b0a657d_FORMATO.png,Provável
7,"{'DE': 29, 'GS': 9, 'SG': 3}",37656,9,266,1,7,2.0,10.17,0.29,3.89,9,,fabio,Fábio,Fábio,Fábio Deivson Lopes Maciel,https://s.glbimg.com/es/sde/f/2022/04/20/aeae67450f0c19a81c7d356b86382594_FORMATO.png,Provável
8,"{'CA': 1, 'CV': 1, 'DS': 12, 'FC': 6, 'FF': 2, 'FS': 7, 'PI': 39}",86864,9,327,2,7,2.3,3.26,-0.38,1.96,5,,marlon,Marlon ,Marlon ,Marlon Matheus Lopes do Nascimento,https://s.glbimg.com/es/sde/f/2022/02/25/d945a3ac1fe38c28ea612a9d62b68a37_FORMATO.png,Provável
9,{},72372,9,286,1,6,0.0,7.0,0.0,0.0,0,,felipe-alves,Felipe Alves,F. Alves,Felipe Alves Raymundo,https://s.glbimg.com/es/sde/f/2022/03/03/4d0134ca36fbe16f9ac38c3ba359e6ac_FORMATO.png,Nulo
