,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,69,49,16,33,11,1
1,Corinthians,55,37,25,12,11,2
2,Internacional,53,37,24,13,11,3
3,Fluminense,49,38,30,8,6,4
4,Atlético-MG,46,32,24,8,7,5
5,Athletico-PR,46,32,30,2,7,6
6,Flamengo,45,36,26,10,10,7
7,Botafogo,43,28,30,-2,9,8
8,São Paulo,42,36,27,9,8,9
9,Santos,41,32,23,9,9,10
10,Bragantino,40,38,37,1,4,11
11,América-MG,37,22,29,-7,6,12
12,Ceará,36,28,31,-3,3,13
13,Fortaleza,36,26,30,-4,13,14
14,Goiás,35,28,34,-6,2,15
15,Coritiba,35,25,39,-14,7,16
16,Avaí,32,24,43,-19,0,17
17,Atlético-GO,31,26,39,-13,8,18
18,Cuiabá,29,20,31,-11,4,19
19,Juventude,26,22,47,-25,2,20
