,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Goiás,Corinthians,2.8,3.04,2.68,35.714285714285715,37.31343283582089,32.89473684210527
1,América-MG,Fortaleza,2.19,3.2,3.42,45.662100456621005,29.239766081871345,31.25
2,Flamengo,Atlético-MG,2.14,3.41,3.41,46.728971962616825,29.325513196480934,29.325513196480934
3,Ceará,Cuiabá,1.87,3.25,4.57,53.475935828877,21.88183807439825,30.76923076923077
4,Palmeiras,São Paulo,1.57,4.04,5.91,63.69426751592356,16.920473773265652,24.752475247524753
5,Botafogo,Internacional,2.66,3.17,2.7,37.59398496240601,37.03703703703704,31.545741324921135
6,Juventude,Atlético-GO,3.0,3.08,2.49,33.33333333333333,40.16064257028112,32.467532467532465
8,Avaí,Fluminense,3.8,3.29,2.03,26.31578947368421,49.26108374384237,30.3951367781155
9,Bragantino,Santos,1.99,3.21,4.04,50.25125628140703,24.752475247524753,31.15264797507788
10,São Paulo,Coritiba,1.55,3.6,6.4,64.51612903225806,15.625,27.77777777777778
