,clube,xG_mean,xG_total
0,Palmeiras,1.7379370645264107,36.49667835505462
1,Flamengo,1.720896067589163,36.1388174193724
2,Atlético-MG,1.4814134606441607,32.59109613417155
3,Internacional,1.4299502120937677,31.45890466606288
4,Bragantino,1.4209476287768144,31.260847833089915
5,Fluminense,1.4170016098533507,31.174035416773723
6,Atlético-GO,1.3440814551237923,29.569792012723404
7,São Paulo,1.3065855113247802,28.74488124914517
8,Coritiba,1.300430516959847,28.60947137311666
9,Fortaleza,1.2874247127215401,28.323343679873872
10,América-MG,1.240027737702417,27.280610229453195
11,Santos,1.2307092804286353,27.075604169429973
12,Ceará,1.2175994634837248,26.78718819664196
13,Botafogo,1.1069448434385853,24.352786555648873
14,Juventude,1.0923402264165991,24.03148498116518
15,Goiás,1.0626253363142928,23.377757398914447
16,Athletico-PR,1.0422507815706574,22.929517194554457
17,Corinthians,1.0277661632462858,22.610855591418282
18,Avaí,0.986652077800207,21.706345711604552
19,Cuiabá,0.9480038876964819,20.856085529322606
