,clube,media_geral,ranking_geral,media_casa,ranking_casa,media_fora,ranking_fora
0,Palmeiras,74.24633333333333,1,76.47166666666666,2,72.02099999999999,1
1,Flamengo,65.96025,2,88.768,1,43.1525,13
2,Atlético-MG,62.158500000000004,3,64.1,6,60.217000000000006,2
3,Internacional,58.040083333333335,4,66.91600000000001,5,49.16416666666666,4
4,Corinthians,57.01409090909091,5,67.06090909090909,4,46.96727272727273,7
5,Fluminense,55.885037878787884,6,67.50916666666667,3,44.26090909090909,10
6,Bragantino,54.81772727272727,7,62.400909090909096,8,47.23454545454545,6
7,Santos,53.524583333333325,8,63.42416666666666,7,43.625,11
8,Athletico-PR,53.20958333333333,9,56.65999999999999,11,49.759166666666665,3
9,Fortaleza,50.731818181818184,10,55.26,12,46.20363636363636,9
10,São Paulo,50.25526515151516,11,60.34636363636364,9,40.164166666666674,15
11,Coritiba,50.119666666666674,12,59.59333333333334,10,40.646,14
12,Botafogo,47.028030303030306,13,47.472727272727276,16,46.583333333333336,8
13,América-MG,46.21314393939393,14,54.60545454545454,13,37.820833333333326,17
14,Goiás,45.79079545454545,15,48.14909090909091,14,43.4325,12
15,Ceará,43.38277272727272,16,38.370999999999995,20,48.394545454545444,5
16,Cuiabá,41.985,17,47.825,15,36.145,18
17,Atlético-GO,41.364431818181814,18,43.4725,19,39.25636363636364,16
18,Avaí,39.53608333333334,19,44.119166666666665,18,34.953,19
19,Juventude,38.09318181818182,20,44.29090909090909,17,31.895454545454548,20
