,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Cuiabá,Ceará,2.85,3.03,2.68,35.08771929824561,37.31343283582089,33.003300330033
1,Santos,Bragantino,2.32,3.12,3.32,43.10344827586207,30.120481927710845,32.05128205128205
2,Atlético-MG,Flamengo,2.04,3.44,3.68,49.01960784313725,27.173913043478258,29.069767441860467
3,Corinthians,Goiás,1.59,3.67,6.5,62.893081761006286,15.384615384615385,27.247956403269757
4,Coritiba,Athletico-PR,2.56,3.12,2.89,39.0625,34.602076124567475,32.05128205128205
5,Atlético-GO,Juventude,2.0,3.18,4.21,50.0,23.752969121140143,31.446540880503143
6,Fortaleza,América-MG,1.87,3.41,4.42,53.475935828877,22.624434389140273,29.325513196480934
7,Internacional,Botafogo,1.64,3.77,5.48,60.97560975609756,18.248175182481752,26.525198938992045
8,Fluminense,Avaí,1.59,3.86,6.02,62.893081761006286,16.611295681063122,25.90673575129534
9,São Paulo,Palmeiras,3.08,3.15,2.44,32.467532467532465,40.98360655737705,31.746031746031743
