,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,35,31,10,21,13,1
1,Corinthians,27,19,12,7,8,2
2,Internacional,24,21,14,7,10,3
3,Atlético-MG,24,22,16,6,8,4
4,Athletico-PR,24,18,17,1,11,5
5,Fluminense,21,16,14,2,10,6
6,Santos,19,18,13,5,7,7
7,São Paulo,19,18,15,3,5,8
8,Flamengo,18,16,15,1,6,9
9,Bragantino,18,20,21,-1,8,10
10,Botafogo,18,16,19,-3,6,11
11,Avaí,18,17,21,-4,7,12
12,Ceará,17,17,18,-1,7,13
13,Goiás,17,14,17,-3,5,14
14,Atlético-GO,17,16,19,-3,10,15
15,Coritiba,15,16,22,-6,1,16
16,América-MG,15,11,17,-6,1,17
17,Cuiabá,13,9,16,-7,5,18
18,Fortaleza,11,12,18,-6,5,19
19,Juventude,11,12,24,-12,1,20
