,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,37,31,10,21,9,1
1,Corinthians,31,20,12,8,9,2
2,Internacional,28,22,14,8,10,3
3,Atlético-MG,26,22,16,6,9,4
4,Fluminense,25,18,15,3,11,5
5,Athletico-PR,25,19,19,0,8,6
6,Santos,23,19,13,6,9,7
7,Bragantino,22,24,21,3,8,8
8,São Paulo,21,18,15,3,3,9
9,Goiás,21,16,18,-2,7,10
10,Flamengo,19,16,16,0,7,11
11,Botafogo,19,16,21,-5,7,12
12,Avaí,19,17,25,-8,5,13
13,Ceará,18,18,20,-2,4,14
14,Atlético-GO,18,16,20,-4,5,15
15,Cuiabá,17,11,16,-5,5,16
16,Coritiba,17,18,24,-6,2,17
17,América-MG,16,11,18,-7,2,18
18,Fortaleza,13,12,18,-6,5,19
19,Juventude,13,14,26,-12,3,20
