,mandante,rodada_id,visitante,xG_mandante,xG_visitante,percent_mandante,percent_visitante,percent_empate,percent_sg_mandante,percent_sg_visitante,percent_sg_empate
0,Bragantino,16.0,Avaí,1.3699164625817706,0.9503250472949804,45.88,26.63,27.48,28.54,15.83,9.84
1,Fluminense,16.0,Ceará,1.4448604661107556,1.3241632236600505,39.78,34.83,25.39,20.36,17.27,6.25
2,Goiás,16.0,Athletico-PR,1.2865569871294469,0.9385235976961491,44.07,27.26,28.67,28.46,16.84,10.82
3,Coritiba,16.0,Juventude,1.621795908256925,1.0902155899154744,49.54,26.08,24.39,26.95,13.44,7.12
4,Corinthians,16.0,Flamengo,1.027085363002163,1.0577506243674857,34.54,35.56,29.89,22.52,23.16,12.27
5,Atlético-MG,16.0,São Paulo,1.5921602042821226,1.4986604312426675,40.62,35.69,23.7,18.11,15.78,4.3
6,Santos,16.0,Atlético-GO,1.4677779451642063,1.2504850596501544,42.37,32.31,25.32,22.59,16.05,6.45
7,Fortaleza,16.0,Palmeiras,1.3942508998504262,1.8057528982837772,29.54,47.33,23.14,12.16,20.76,3.94
8,Cuiabá,16.0,Botafogo,1.2664900239674215,1.0476773258923504,41.38,30.55,28.07,25.06,18.22,10.29
9,Internacional,16.0,América-MG,1.698942611093254,1.3477590448834285,46.08,30.46,23.46,21.27,13.43,4.58
