,apelido,atleta_id,clube,posicao,media_casa,media_fora,adversário,mando,media_cedidos,XP_visitante
1756,Carlos Eduardo,90917,Bragantino,ATA,1.3000000000000003,0.8399999999999999,Atlético-GO,visitante,4.87,2.855
1757,Pepê,101573,Cuiabá,MEI,4.742857142857143,2.1714285714285713,Fluminense,visitante,3.5200000000000005,2.845714285714286
1758,Flávio,105608,América-MG,MEI,1.8,1.3,Juventude,visitante,4.388888888888889,2.8444444444444446
1759,Santos,69012,Flamengo,GOL,5.25,3.1666666666666665,São Paulo,visitante,2.5,2.833333333333333
1760,Matheus Sales,89285,Goiás,MEI,1.225,1.4125,Palmeiras,visitante,4.25,2.83125
1761,Danilo Barcelos,84382,Goiás,LAT,2.3428571428571425,1.4,Palmeiras,visitante,4.25,2.825
1762,Jô,38138,Corinthians,ATA,1.3499999999999999,4.55,Avaí,visitante,1.1,2.825
1763,Gustavo,108201,América-MG,MEI,1.8199999999999998,1.2333333333333334,Juventude,visitante,4.388888888888889,2.8111111111111113
1764,Camacho,68770,Santos,MEI,1.2833333333333334,2.72,Coritiba,visitante,2.9,2.81
1765,Sandry,104580,Santos,MEI,1.7333333333333334,2.7,Coritiba,visitante,2.9,2.8
1766,Dentinho,50428,Ceará,ATA,0.04999999999999999,1.15,Botafogo,visitante,4.444444444444445,2.7972222222222225
1767,Índio Ramírez,97062,América-MG,MEI,3.08,1.2,Juventude,visitante,4.388888888888889,2.7944444444444447
1768,André,68690,Cuiabá,ATA,1.9142857142857141,2.066666666666667,Fluminense,visitante,3.5200000000000005,2.793333333333334
1769,António Oliveira,111578,Cuiabá,TEC,4.581999999999999,2.058,Fluminense,visitante,3.5200000000000005,2.789
1770,Osorio,113010,Cuiabá,MEI,1.5,2.025,Fluminense,visitante,3.5200000000000005,2.7725
1771,Henrique Almeida,68773,América-MG,ATA,4.442857142857142,1.1500000000000001,Juventude,visitante,4.388888888888889,2.769444444444445
1772,Igor Cariús,91639,Cuiabá,LAT,1.2750000000000001,2.0,Fluminense,visitante,3.5200000000000005,2.7600000000000002
1773,Vinícius Zanocelo,104521,Santos,MEI,4.409090909090909,2.6,Coritiba,visitante,2.9,2.75
1774,Paulão,63172,Cuiabá,ZAG,0.15000000000000002,1.9599999999999997,Fluminense,visitante,3.5200000000000005,2.74
1775,Pedrinho,100103,América-MG,ATA,4.666666666666667,1.0875,Juventude,visitante,4.388888888888889,2.738194444444445
1776,Vásquez,108279,Ceará,ATA,1.6,1.0,Botafogo,visitante,4.444444444444445,2.7222222222222223
1777,Carlos Alberto,106704,América-MG,ATA,1.55,1.05,Juventude,visitante,4.388888888888889,2.7194444444444446
1778,Lucas Kal,95662,América-MG,MEI,1.0625,1.0444444444444443,Juventude,visitante,4.388888888888889,2.716666666666667
1779,Rivas,108659,Cuiabá,MEI,0.6,1.9,Fluminense,visitante,3.5200000000000005,2.71
1780,Realpe,106299,Bragantino,ZAG,2.0999999999999996,0.5499999999999999,Atlético-GO,visitante,4.87,2.71
1781,Hugo Moura,101594,Athletico-PR,MEI,3.4499999999999997,3.4285714285714284,Atlético-MG,visitante,1.9899999999999998,2.709285714285714
1782,Willian,42135,Corinthians,MEI,3.5375,4.283333333333333,Avaí,visitante,1.1,2.6916666666666664
1783,Lucas Piton,105584,Corinthians,LAT,5.933333333333334,4.266666666666667,Avaí,visitante,1.1,2.6833333333333336
1784,Paulinho,69034,Corinthians,MEI,0.4,4.2,Avaí,visitante,1.1,2.6500000000000004
1785,Alan Empereur,88033,Cuiabá,ZAG,1.0999999999999999,1.7666666666666666,Fluminense,visitante,3.5200000000000005,2.6433333333333335
1786,Willian Maranhão,87262,Santos,MEI,0.4000000000000001,2.3666666666666667,Coritiba,visitante,2.9,2.6333333333333333
1787,Léo Baptistão ,81161,Santos,ATA,6.781818181818182,2.35,Coritiba,visitante,2.9,2.625
1788,Danilo Avelar,72142,América-MG,ZAG,2.68,0.8250000000000002,Juventude,visitante,4.388888888888889,2.6069444444444447
1789,Rodriguinho,61033,Cuiabá,MEI,2.311111111111112,1.6599999999999995,Fluminense,visitante,3.5200000000000005,2.59
