,mandante,visitante,odds_mandante,odds_empate,odds_visitante,odds_mandante_percent,odds_visitante_percent,odds_empate_percent
0,Cuiabá,América-MG,2.49,2.97,3.18,40.16064257028112,31.446540880503143,33.67003367003367
6,Internacional,Santos,1.76,3.49,5.13,56.81818181818182,19.493177387914233,28.653295128939828
12,Botafogo,Palmeiras,3.89,3.48,1.94,25.70694087403599,51.54639175257733,28.735632183908045
13,Juventude,Corinthians,3.14,2.99,2.36,31.84713375796178,42.37288135593221,33.44481605351171
14,Atlético-GO,Fluminense,3.26,3.27,2.19,30.67484662576687,45.662100456621005,30.58103975535168
15,Bragantino,Cuiabá,1.67,3.72,4.93,59.88023952095809,20.28397565922921,26.881720430107524
16,Ceará,Goiás,1.65,3.82,4.88,60.60606060606061,20.491803278688526,26.17801047120419
17,Athletico-PR,Fortaleza,2.12,3.21,3.46,47.16981132075471,28.901734104046245,31.15264797507788
18,Flamengo,Internacional,1.74,3.72,4.43,57.47126436781609,22.573363431151243,26.881720430107524
19,Santos,Atlético-MG,3.08,3.16,2.33,32.467532467532465,42.91845493562232,31.645569620253163
20,Avaí,Botafogo,2.42,3.19,2.93,41.32231404958678,34.129692832764505,31.347962382445143
22,América-MG,São Paulo,2.42,3.21,2.91,41.32231404958678,34.36426116838488,31.15264797507788
23,São Paulo,Coritiba,1.56,3.96,6.2,64.1025641025641,16.129032258064516,25.252525252525253
