,clube,xG_casa,xGA_casa,xG_fora,xGA_fora,xG_geral,xGA_geral,xG_diff_casa,xG_diff_fora,xG_diff_geral
0,Flamengo,2.072589358276561,0.6901462017499436,1.3346155483736255,1.0777224511019343,1.7036024533250933,0.8839343264259389,1.3824431565266175,0.2568930972716912,0.8196681268991544
1,Palmeiras,2.061057860670329,0.897630349252183,1.3970312527252715,1.0742180901666203,1.7290445566978003,0.9859242197094016,1.163427511418146,0.3228131625586512,0.7431203369883987
2,Atlético-MG,1.636429265664484,0.7720249994607662,1.4229596668394326,1.051149862740664,1.5296944662519585,0.911587431100715,0.8644042662037179,0.37180980409876874,0.6181070351512434
3,Internacional,1.550269259675471,1.0651924665892478,1.3589717014219098,1.1921704048393083,1.4546204805486904,1.128681435714278,0.4850767930862232,0.16680129658260157,0.3259390448344124
4,Fluminense,1.6979143562400507,0.9670275195797147,0.9201174631286984,1.2830092032448495,1.3090159096843745,1.1250183614122822,0.730886836660336,-0.3628917401161511,0.18399754827209236
5,Fortaleza,1.6000694248056582,0.9795008433399186,1.0808366075578868,1.3453518812925451,1.3404530161817725,1.1624263623162319,0.6205685814657396,-0.26451527373465833,0.17802665386554062
6,São Paulo,1.474530878438064,1.0744516638011115,1.3322007592224523,1.388633816599935,1.4033658188302582,1.2315427402005232,0.4000792146369525,-0.05643305737748272,0.171823078629735
7,América-MG,1.672042131413741,1.1234796557646025,1.2567247512694153,1.6487801191384457,1.4643834413415782,1.3861298874515242,0.5485624756491385,-0.3920553678690304,0.07825355389005395
8,Corinthians,1.3042780410754902,1.0354731558624735,0.9997078504933888,1.1969148002838093,1.1519929457844396,1.1161939780731414,0.2688048852130167,-0.19720694979042042,0.0357989677112982
9,Bragantino,1.5284503867975179,1.0211697164541864,1.1767529891747013,1.6752427812873452,1.3526016879861096,1.3482062488707658,0.5072806703433315,-0.4984897921126439,0.004395439115343791
10,Atlético-GO,1.6258467217346475,1.205760323416006,1.157617357139934,1.6308811913943195,1.3917320394372907,1.4183207574051626,0.4200863983186416,-0.47326383425438556,-0.026588717967871878
11,Ceará,1.174143742702318,1.17846464108669,1.1678007195466882,1.4779159653018616,1.170972231124503,1.3281903031942757,-0.004320898384371885,-0.31011524575517346,-0.15721807206977267
12,Cuiabá,1.237168551575874,1.0277232436010135,0.8532994597915048,1.3791497443633924,1.0452340056836893,1.203436493982203,0.20944530797486038,-0.5258502845718876,-0.1582024882985138
13,Coritiba,1.2706439801041582,1.1057389841747327,1.2823096316370939,1.8103234719972627,1.276476805870626,1.4580312280859977,0.16490499592942554,-0.5280138403601689,-0.18155442221537177
14,Santos,1.51409628990628,1.5200081869402988,1.0223680025239255,1.422301010117785,1.2682321462151027,1.471154598529042,-0.005911897034018843,-0.39993300759385964,-0.20292245231393924
15,Botafogo,1.1729379249403928,1.2385694489573822,1.1696809916612685,1.557944427274964,1.1713094583008306,1.3982569381161731,-0.06563152401698935,-0.3882634356136956,-0.22694747981534258
16,Juventude,1.4962428499011071,1.081448911517783,0.7013600604118947,1.9238321213499554,1.0988014551565009,1.5026405164338692,0.4147939383833241,-1.2224720609380606,-0.40383906127736835
17,Athletico-PR,1.2940839443189014,1.4331375901197672,0.9220136778213617,1.617408631341879,1.1080488110701316,1.525273110730823,-0.13905364580086577,-0.6953949535205173,-0.4172242996606914
18,Avaí,1.2217805877848875,1.2416388528691253,0.9243212127396899,1.8287817416448882,1.0730509002622888,1.5352102972570068,-0.019858265084237825,-0.9044605289051982,-0.462159396994718
19,Goiás,1.0481890567507413,1.6455194858617033,0.9188611462231304,1.9348650685285602,0.9835251014869358,1.7901922771951317,-0.597330429110962,-1.0160039223054298,-0.8066671757081959
