,clube,P
0,Palmeiras,67.74483653070351
1,Corinthians,61.373324365426875
2,Athletico-PR,58.78451959007491
3,São Paulo,58.48765696755498
4,Atlético-MG,57.6242867127231
5,Flamengo,56.739893853933644
6,Internacional,56.02924947302625
7,Fluminense,54.41479262372093
8,Santos,53.48680246022522
9,Bragantino,51.1029393155823
10,Botafogo,49.27636952954305
11,Ceará,48.27528162917321
12,Coritiba,48.09447670630684
13,Goiás,46.897835992230064
14,Fortaleza,43.909219454256245
15,Atlético-GO,39.7730375791341
16,Cuiabá,39.26125367407544
17,América-MG,38.71549697882932
18,Juventude,38.06565489497916
19,Avaí,34.19504520284295
