,clube,P,GP,GC,SG,Fase,ranking
0,Goiás,16,14,18,-4,8,1
1,Palmeiras,15,13,5,8,11,2
2,Corinthians,14,12,8,4,8,3
3,São Paulo,11,11,7,4,8,4
4,Atlético-MG,11,10,6,4,8,5
5,Botafogo,11,10,7,3,11,6
6,Santos,10,10,5,5,9,7
7,Avaí,10,7,8,-1,7,8
8,América-MG,9,7,7,0,9,9
9,Internacional,9,6,6,0,9,10
10,Fluminense,8,6,6,0,7,11
11,Bragantino,8,8,8,0,7,12
12,Ceará,7,10,13,-3,2,13
13,Cuiabá,7,5,8,-3,4,14
14,Flamengo,6,6,6,0,5,15
15,Juventude,6,7,10,-3,5,16
16,Atlético-GO,3,3,10,-7,2,17
17,Fortaleza,2,3,8,-5,2,18
