,clube,xG_mean,xG_total
0,Atlético-MG,1.8059568524775165,12.641697967342628
1,Palmeiras,1.9342700877137338,11.605620526282404
2,Flamengo,1.737617199918767,10.425703199512604
3,São Paulo,1.4695165577851337,10.286615904495934
4,Atlético-GO,1.40214596413611,9.815021748952773
5,Coritiba,1.3935718798790044,9.75500315915303
6,Internacional,1.2849964994360559,8.99497549605239
7,Fortaleza,1.4603676259216296,8.762205755529779
8,Avaí,1.247967524642611,8.735772672498275
9,Santos,1.2256028113999586,8.57921967979971
10,Ceará,1.3959831107018834,8.3758986642113
11,Botafogo,1.1325913051084948,7.928139135759462
12,América-MG,1.1182184363704448,7.827529054593114
13,Bragantino,1.1011056106839399,7.7077392747875795
14,Juventude,1.085011521908085,7.595080653356595
15,Athletico-PR,1.0554361177060523,7.388052823942366
16,Cuiabá,0.9744117060350358,6.820881942245251
17,Fluminense,0.9687796482515425,6.781457537760799
18,Goiás,0.9469131945058678,6.628392361541075
19,Corinthians,0.8813151086945832,6.1692057608620825
