,clube,xP,ranking_xp
0,Flamengo,37.39000000000001,1
1,Palmeiras,37.35,2
2,Atlético-MG,35.42,3
3,Internacional,32.23,4
4,Fluminense,30.59,5
5,Fortaleza,29.180000000000003,6
6,São Paulo,29.05,7
7,América-MG,27.240000000000002,8
8,Corinthians,26.779999999999998,9
9,Bragantino,26.35,10
10,Atlético-GO,25.71,11
11,Ceará,24.26,12
12,Cuiabá,23.97,13
13,Botafogo,23.93,14
14,Coritiba,23.859999999999996,15
15,Santos,23.18,16
16,Avaí,20.460000000000004,17
17,Juventude,20.34,18
18,Athletico-PR,20.199999999999996,19
19,Goiás,15.370000000000001,20
