,clube,ranking_clube,fase
0,Palmeiras,1,73.33
1,Internacional,3,73.33
2,Fluminense,2,66.67
3,Botafogo,9,66.67
4,Coritiba,15,60.0
5,Corinthians,4,53.33
6,Goiás,11,53.33
7,São Paulo,12,53.33
8,América-MG,8,53.33
9,Fortaleza,14,46.67
10,Athletico-PR,6,40.0
11,Cuiabá,17,40.0
12,Avaí,18,33.33
13,Flamengo,5,33.33
14,Ceará,16,33.33
15,Atlético-MG,7,33.33
16,Santos,10,26.67
17,Bragantino,13,26.67
18,Juventude,20,13.33
19,Atlético-GO,19,0.0
