,clube,P,GP,GC,SG,Fase,ranking
0,Palmeiras,67,48,15,33,15,1
1,Corinthians,51,35,24,11,8,2
2,Internacional,47,32,22,10,11,3
3,Fluminense,46,35,28,7,9,4
4,Atlético-MG,45,32,23,9,7,5
5,Athletico-PR,43,30,28,2,6,6
6,São Paulo,41,36,26,10,11,7
7,Bragantino,40,37,33,4,6,8
8,Botafogo,40,27,29,-2,10,9
9,Flamengo,39,33,25,8,5,10
10,Santos,35,26,22,4,3,11
11,Ceará,34,27,30,-3,4,12
12,Goiás,34,26,30,-4,3,13
13,América-MG,34,19,27,-8,7,14
14,Avaí,32,24,38,-14,4,15
15,Coritiba,32,23,37,-14,7,16
16,Fortaleza,30,22,29,-7,8,17
17,Atlético-GO,29,24,37,-13,6,18
18,Cuiabá,28,18,28,-10,4,19
19,Juventude,25,20,42,-22,2,20
